"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_142",1.21413765530683,45,209.5,95.5,0.05,FALSE,FALSE,FALSE,FALSE,0.0906213235294118,35,36,147
"emb_024",1.23507348319231,223,212,224,0.05,FALSE,FALSE,FALSE,FALSE,0.843161764705882,219,164,181
"emb_232",1.22395101766089,132,212,199.5,0.05,FALSE,FALSE,FALSE,FALSE,0.398823529411765,54,45,156
"emb_233",1.23605852590995,230,212,229,0,FALSE,FALSE,FALSE,FALSE,0.868661764705882,82,206,225
"emb_123",1.22881754696125,175,214,253,0,FALSE,FALSE,FALSE,FALSE,0.615169117647059,146,155,159
"emb_050",1.22022445249055,90,215,139.5,0,FALSE,FALSE,FALSE,FALSE,0.251198529411765,169,103,263
"emb_196",1.22553654346626,144,216.5,184.5,0.05,FALSE,FALSE,FALSE,FALSE,0.467948529411765,234,214,144
"emb_219",1.23046798759949,189,216.5,254,0,FALSE,FALSE,FALSE,FALSE,0.684709558823529,199,146,201
"emb_071",1.23628651154286,231,218.5,190,0,FALSE,FALSE,FALSE,FALSE,0.874327205882353,269,223,148
"emb_074",1.22853129935543,171,218.5,244.5,0.05,FALSE,FALSE,FALSE,FALSE,0.602860294117647,202,254,136
"emb_129",1.2267355944889,156,220,188,0,FALSE,FALSE,FALSE,FALSE,0.522488970588235,145,115,80
"emb_131",1.23274814235894,209,221,235,0,FALSE,FALSE,FALSE,FALSE,0.770650735294118,266,256,179
"emb_003",1.23464615116508,220,223,150.5,0.05,FALSE,FALSE,FALSE,FALSE,0.831150735294118,17,35,76
"emb_038",1.22145613712917,101,223,164,0.05,FALSE,FALSE,FALSE,FALSE,0.296382352941176,65,68,244
"emb_048",1.22821530545868,169,223,130.5,0.1,FALSE,FALSE,FALSE,FALSE,0.589125,210,179,249
"emb_039",1.21570229251339,55,225.5,127,0.15,FALSE,FALSE,FALSE,FALSE,0.1214375,56,75,160
"emb_045",1.23848399136328,245,225.5,220.5,0.05,FALSE,FALSE,FALSE,FALSE,0.919242647058824,267,259,270
"emb_018",1.23723158008401,237,227,219,0.05,FALSE,FALSE,FALSE,FALSE,0.895393382352941,191,142,230
"emb_208",1.23463371906129,219,228,239.5,0,FALSE,FALSE,FALSE,FALSE,0.830834558823529,76,92,250
"emb_090",1.23131580830075,197,229,257,0,FALSE,FALSE,FALSE,FALSE,0.718044117647059,220,124,254
"emb_022",1.23137685403455,198,230.5,228,0.15,FALSE,FALSE,FALSE,FALSE,0.720279411764706,222,106,240
"emb_164",1.23535944939147,226,230.5,248,0.1,FALSE,FALSE,FALSE,FALSE,0.850871323529412,130,100,127
"emb_220",1.23908321835429,249,232,127,0,FALSE,FALSE,FALSE,FALSE,0.928930147058823,72,57,208
"emb_076",1.22167766519497,104,233,197,0.05,FALSE,FALSE,FALSE,FALSE,0.305301470588235,58,78,211
"emb_083",1.240667308064,253,234.5,251,0.05,FALSE,FALSE,FALSE,FALSE,0.95,128,180,100
"emb_096",1.24421793158492,266,234.5,227,0.05,FALSE,FALSE,FALSE,FALSE,0.980275735294118,239,226,189
"emb_093",1.23398884860328,216,236,258.5,0,FALSE,FALSE,FALSE,FALSE,0.811356617647059,59,89,115
"emb_037",1.23561135853332,227,237.5,241,0,FALSE,FALSE,FALSE,FALSE,0.857426470588235,251,222,117
"emb_116",1.23131569817683,196,237.5,215,0.05,FALSE,FALSE,FALSE,FALSE,0.718044117647059,79,221,253
"emb_007",1.23309249572811,213,239,232,0.05,FALSE,FALSE,FALSE,FALSE,0.782485294117647,136,72,186
"emb_088",1.23636977784092,232,240,236,0.05,FALSE,FALSE,FALSE,FALSE,0.876294117647059,55,116,229
"emb_185",1.24173426073697,258,241,249,0.05,FALSE,FALSE,FALSE,FALSE,0.961683823529412,63,74,256
"emb_054",1.23800951236089,242,242,215,0,FALSE,FALSE,FALSE,FALSE,0.910893382352941,217,203,264
"emb_064",1.23789698834551,240,243.5,258.5,0.1,FALSE,FALSE,FALSE,FALSE,0.908816176470588,223,165,269
"emb_094",1.23653223670302,234,243.5,261,0.1,FALSE,FALSE,FALSE,FALSE,0.880099264705882,157,102,252
"emb_004",1.24341143834138,265,246,95.5,0.05,FALSE,FALSE,FALSE,FALSE,0.9754375,3,4,15
"emb_017",1.23589801027425,229,246,244.5,0,FALSE,FALSE,FALSE,FALSE,0.864544117647059,208,228,227
"emb_188",1.24297711136358,262,246,269,0.05,FALSE,FALSE,FALSE,FALSE,0.972389705882353,218,224,261
"emb_078",1.23668722898835,235,248.5,252,0,FALSE,FALSE,FALSE,FALSE,0.8834375,155,139,255
"emb_197",1.21363374353425,39,248.5,92,0.1,FALSE,FALSE,FALSE,FALSE,0.0820992647058824,230,156,158
"emb_198",1.23512199233446,224,250,256,0,FALSE,FALSE,FALSE,FALSE,0.844470588235294,183,236,199
"emb_120",1.2379372098557,241,252,197,0.1,FALSE,FALSE,FALSE,FALSE,0.909558823529412,95,154,128
"emb_145",1.23425052915721,217,252,237.5,0.1,FALSE,FALSE,FALSE,FALSE,0.819283088235294,213,267,262
"emb_241",1.23581011849771,228,252,268,0,FALSE,FALSE,FALSE,FALSE,0.862349264705882,118,133,251
"emb_173",1.2388530983234,246,254.5,264.5,0.05,FALSE,FALSE,FALSE,FALSE,0.925235294117647,228,217,258
"emb_239",1.24133912868131,257,254.5,243,0.15,FALSE,FALSE,FALSE,FALSE,0.957558823529412,22,62,126
"emb_214",1.24205082227496,259,256,262,0.05,FALSE,FALSE,FALSE,FALSE,0.964698529411765,237,196,145
"emb_089",1.23289175505996,210,257,255,0.05,FALSE,FALSE,FALSE,FALSE,0.775643382352941,250,211,204
"emb_119",1.24928948932644,272,258,263,0.1,FALSE,FALSE,FALSE,FALSE,0.995856617647059,39,85,169
"rate_upper",1.24105354702077,256,259.5,234,0.15,FALSE,FALSE,FALSE,FALSE,0.954411764705882,2,1,25
"emb_069",1.23894009288348,248,259.5,160.5,0.1,FALSE,FALSE,FALSE,FALSE,0.926720588235294,268,191,56
"emb_122",1.24837080592648,271,261.5,270,0,FALSE,FALSE,FALSE,FALSE,0.994404411764706,172,141,196
"emb_179",1.24058965300478,252,261.5,264.5,0.15,FALSE,FALSE,FALSE,FALSE,0.949121323529412,196,158,266
"emb_016",1.24297402198757,261,263,246.5,0.05,FALSE,FALSE,FALSE,FALSE,0.972371323529412,132,126,79
"emb_019",1.24089730893919,255,264.5,242,0.05,FALSE,FALSE,FALSE,FALSE,0.952716911764706,207,192,242
"emb_190",1.24313683898348,264,264.5,233,0.1,FALSE,FALSE,FALSE,FALSE,0.9735,77,48,223
"rate_punct",1.24810869353132,270,266.5,178.5,0.1,FALSE,FALSE,FALSE,FALSE,0.993882352941176,13,12,137
"emb_110",1.24436348292534,267,266.5,267,0.05,FALSE,FALSE,FALSE,FALSE,0.981136029411765,99,225,259
"emb_187",1.24205532890558,260,268,215,0.05,FALSE,FALSE,FALSE,FALSE,0.964738970588235,69,147,94
"byte_entropy",1.2430395623575,263,269,260,0.1,FALSE,FALSE,FALSE,FALSE,0.972838235294118,1,2,6
"emb_033",1.23642651036556,233,270,271,0,FALSE,FALSE,FALSE,FALSE,0.877654411764706,12,9,33
"emb_030",1.24515598394853,268,271,272,0.1,FALSE,FALSE,FALSE,FALSE,0.984875,88,60,95
"emb_109",1.24687118244229,269,272,266,0,FALSE,FALSE,FALSE,FALSE,0.991117647058824,161,132,109
