covariate,sd_inter,p_perm,gmin,gmax
s70m_q62,0.10928242721105205,0.006666666666666667,1.118465633392334,1.359277198791504
s70m_q48,0.10854415281380798,0.006666666666666667,1.1459704818725587,1.3799620323181152
s160m_q82,0.10848279454790664,0.006666666666666667,1.0927435951232911,1.3501696929931641
s160m_q06,0.1077524025909989,0.006666666666666667,1.0915072937011718,1.3045635719299316
s160m_q57,0.10688262423940112,0.006666666666666667,1.1218288917541503,1.365611473083496
d70_160_skew,0.10665477918334666,0.006666666666666667,1.0947339706420898,1.3097502250671387
s160m_q52,0.10660128737578971,0.006666666666666667,1.0938641242980958,1.3541902389526368
d70_160_bs06,0.1059991101431403,0.013333333333333334,1.0861248474121095,1.3184965133666993
s160m_q04,0.10444007238039932,0.016666666666666666,1.083570629119873,1.284363540649414
s70m_bm09,0.10419415877398976,0.016666666666666666,1.1200058250427245,1.3522248077392578
s160m_q54,0.10369999835404793,0.02,1.145557388305664,1.3655754432678222
s70m_q04,0.10297779382109518,0.02,1.0931311988830565,1.2884440650939941
d70_160_bm00,0.10272828680817904,0.023333333333333334,1.0640250473022461,1.3071015701293944
s70m_bm11,0.10259606723289949,0.023333333333333334,1.1340606231689454,1.3689782104492187
s70m_q88,0.10216985539688367,0.023333333333333334,1.1310048599243163,1.3575323905944825
s70m_q78,0.10201093584448225,0.023333333333333334,1.0965982818603515,1.3432911834716796
d70_160_kurt,0.10180774505075346,0.023333333333333334,1.0486257247924804,1.2884392890930176
d70_160_q02,0.10164411536189892,0.023333333333333334,1.1180399589538574,1.3388092041015625
s70m_q46,0.10069983764855174,0.023333333333333334,1.1372141151428223,1.3717773246765137
d70_160_q10,0.10053145511632106,0.023333333333333334,1.0802025413513183,1.2904730186462403
s160m_bs02,0.1003421037351335,0.023333333333333334,1.1106212921142578,1.3400964164733886
s160m_q08,0.10031545734182927,0.023333333333333334,1.0870587577819824,1.2851559410095215
s160m_q96,0.10030958157769322,0.023333333333333334,1.0867506980895996,1.314795871734619
s70m_q10,0.09944622652239685,0.023333333333333334,1.1021657943725587,1.2871968269348144
s70m_bm02,0.09926989981362615,0.023333333333333334,1.087600715637207,1.3118694725036621
s70m_q98,0.09882128456789821,0.023333333333333334,1.0862235679626464,1.3035005493164062
s70m_q84,0.09863831798525256,0.023333333333333334,1.136919906616211,1.3642908935546876
s160m_bm09,0.09688127921997955,0.023333333333333334,1.0764276657104492,1.2965333518981934
s70m_bs01,0.0945437235606461,0.02666666666666667,1.0859213218688966,1.3100340995788575
s70m_q52,0.09363656764984718,0.03,1.1441848907470704,1.345645305633545
s160m_fb00,0.09305185823074791,0.03666666666666667,1.1413309898376465,1.3432472114562988
s70m_bs11,0.089542035801191,0.05333333333333334,1.1086632614135743,1.3263270544384669
s160m_q86,0.08905287259916121,0.056666666666666664,1.1561136856079102,1.3450733604431153
s160m_bm02,0.0884688350477784,0.06333333333333334,1.11949418258667,1.3079509620666503
s70m_q86,0.08819658838506107,0.06333333333333334,1.1038592910766603,1.318604019165039
s70m_q12,0.08815311207609461,0.06333333333333334,1.1016650543212891,1.2808050918579101
d70_160_bs00,0.08796720955636277,0.06333333333333334,1.0876175537109376,1.2683975639343261
s160m_q50,0.0874184446473588,0.06666666666666667,1.136754409790039,1.3399639511872867
s160m_q94,0.08721261297801128,0.06666666666666667,1.116926914215088,1.3275794486999513
s160m_bm10,0.08718540666984262,0.06666666666666667,1.0691091232299805,1.2641548538208007
s70m_q08,0.0871612729705621,0.06666666666666667,1.1090828437805176,1.2891629180908204
s70m_q82,0.08592711948830856,0.07,1.1697315139770508,1.354997661590576
d70_160_q22,0.08551661392694941,0.07,1.0745714149475099,1.2781925125122071
s70m_q50,0.08545116125546254,0.07333333333333333,1.1533136405944824,1.3377812118530275
s160m_bm13,0.08538790928635125,0.07333333333333333,1.0764834747314453,1.264591827392578
s160m_q84,0.08533578150586542,0.07333333333333333,1.1187308502197266,1.3133515815734864
s160m_bm05,0.08507820333349286,0.07666666666666666,1.1583782615661622,1.3416372947692872
s160m_bm04,0.08492457935664185,0.08,1.0761226234436034,1.2609826049804687
s160m_bs10,0.08479645025418964,0.08,1.0853077964782716,1.2669717025756837
s70m_q42,0.08474554560941504,0.08,1.1504344825744628,1.3341230392456054
s70m_q72,0.08461243989932812,0.08333333333333333,1.1311892738342286,1.3246243286132813
s70m_bs03,0.08442521634420244,0.08333333333333333,1.105468719482422,1.261274227142334
d70_160_q04,0.08396149921220282,0.08666666666666667,1.1024814796447755,1.2900830612182617
s160m_q48,0.08328857907069231,0.08666666666666667,1.1276136894226074,1.3306779327392577
s70m_q44,0.08316275932244195,0.09,1.1584862442016601,1.3414123344421387
d70_160_q14,0.08294058992031499,0.09333333333333334,1.0859885940551757,1.2625056991577148
d70_160_min,0.082759172121574,0.09333333333333334,1.1131372299194335,1.291618480682373
s70m_bm14,0.0825652904713836,0.09333333333333334,1.1084165954589844,1.307264533996582
s160m_bs00,0.0820677256662943,0.1,1.0958988456726073,1.2949069366455077
d70_160_bs05,0.08105223764866672,0.10666666666666667,1.1022060508728027,1.2866327323913573
s70m_bs05,0.07973766260572872,0.12,1.1348454666137695,1.3169682540893555
d70_160_bs15,0.07969932016149811,0.12,1.1228778228759766,1.2980503883361816
s160m_bs04,0.07921903795072502,0.12,1.1245110855102538,1.2672971420288086
s70m_q80,0.07750485964723308,0.12333333333333334,1.1455711402893067,1.3296252937316895
d70_160_bs08,0.07744255086230381,0.12333333333333334,1.1153776664733888,1.2968921203613282
s70m_bs09,0.07740357536430326,0.12333333333333334,1.1502078704833985,1.3118450202941894
s160m_q12,0.07694454863387003,0.13,1.1115533332824707,1.2668109855651855
s70m_bs12,0.07611847107639677,0.14,1.1386223602294923,1.3011536102294923
d70_160_q24,0.07554428999114116,0.14,1.0895388107299804,1.2646128311157228
s70m_q14,0.07552639151658254,0.14,1.128373279571533,1.2752049255371094
s70m_bm04,0.07550274783590244,0.14,1.0941999473571777,1.257300708770752
d70_160_q92,0.07524680457954408,0.14,1.1247184677124022,1.271928825378418
d70_160_sd,0.07465962878031387,0.15666666666666668,1.1261588058471679,1.2803961639404298
d70_160_q28,0.0737411997454749,0.16333333333333333,1.1217386054992675,1.2939406661987305
s160m_bs11,0.07360110682950291,0.16333333333333333,1.1537563438415528,1.324527069091797
d70_160_bm05,0.07332528374985414,0.16333333333333333,1.1168803215026855,1.291701457977295
s160m_q14,0.07275958551631453,0.17,1.1334995727539063,1.2915825309753417
s160m_bs05,0.0725246926048125,0.17,1.1531241950988769,1.3098432502746582
s160m_q02,0.07219388395443059,0.17666666666666667,1.1013406257629395,1.2572047576904297
d70_160_bs14,0.07204941787448085,0.17666666666666667,1.1341307792663575,1.2936509819030761
d70_160_q90,0.07165722175458822,0.17666666666666667,1.1167839698791504,1.274925422668457
d70_160_bm02,0.07155702336002015,0.17666666666666667,1.1200547637939453,1.2850394172668458
d70_160_q20,0.07128165604936584,0.18,1.084982250213623,1.245339797973633
s70m_q02,0.07124824531476112,0.18,1.123318416595459,1.2757869110107423
s160m_bm03,0.07120752753127764,0.18,1.1501260948181153,1.3025092277526855
d70_160_bm11,0.07074063322332931,0.18333333333333332,1.090526065826416,1.2545365829467774
d70_160_bs04,0.07046554302144334,0.18333333333333332,1.0844139251708984,1.231274631500244
s70m_bs10,0.06929708659257319,0.2,1.105018051147461,1.27116695022583
d70_160_q86,0.06903116372461374,0.21,1.1110450401306153,1.2798935203552246
s160m_bm14,0.06899128426266093,0.21,1.1498565788269044,1.2978039627075195
d70_160_bm12,0.06894685677111019,0.21,1.090864772796631,1.2451937942504883
s70m_bs15,0.06806730795900978,0.21666666666666667,1.0847452011108398,1.237969295501709
s70m_bm05,0.06769845513641279,0.22,1.1330232124328614,1.292755669725682
