"covariate","score","rank_base","rank_agg_med","freq_top20","below_fam05","below_mrg05","below_mrg01"
"pc_0593",1.19462976191929,169,59.5,0,FALSE,FALSE,FALSE
"pc_0135",1.19467618802634,170,519.5,0.05,FALSE,FALSE,FALSE
"pc_0030",1.19469860315621,171,400,0.05,FALSE,FALSE,FALSE
"pc_0794",1.19470619946221,172,39.5,0,FALSE,FALSE,FALSE
"pc_0235",1.1947186116159,173,73,0.05,FALSE,FALSE,FALSE
"pc_0236",1.19475094861666,174,758,0,FALSE,FALSE,FALSE
"pc_0675",1.19476922689059,175,136.5,0,FALSE,FALSE,FALSE
"pc_0611",1.19477349212582,176,65,0,FALSE,FALSE,FALSE
"pc_0052",1.19477832339235,177,390,0,FALSE,FALSE,FALSE
"pc_0359",1.19480358082075,178,141,0,FALSE,FALSE,FALSE
"pc_0898",1.19484540237586,179,370,0,FALSE,FALSE,FALSE
"pc_0175",1.1949742904633,180,276.5,0.05,FALSE,FALSE,FALSE
"pc_0460",1.19500714657498,181,181,0,FALSE,FALSE,FALSE
"pc_0125",1.19500880115538,182,83,0,FALSE,FALSE,FALSE
"pc_0790",1.19500999062515,183,826,0.05,FALSE,FALSE,FALSE
"pc_0625",1.19502958324399,184,678.5,0,FALSE,FALSE,FALSE
"pc_0848",1.19505815706515,185,164,0,FALSE,FALSE,FALSE
"pc_0724",1.1950598127112,186,442,0.1,FALSE,FALSE,FALSE
"pc_0493",1.19511307574275,187,145.5,0,FALSE,FALSE,FALSE
"pc_0421",1.19513514000805,188,391.5,0,FALSE,FALSE,FALSE
"pc_0374",1.19513516511989,189,150.5,0.05,FALSE,FALSE,FALSE
"pc_0607",1.19520009839874,190,266.5,0.05,FALSE,FALSE,FALSE
"pc_0380",1.19525579036092,191,296,0,FALSE,FALSE,FALSE
"pc_0216",1.19531856627517,192,69.5,0,FALSE,FALSE,FALSE
"pc_0302",1.19532146472762,193,539.5,0.05,FALSE,FALSE,FALSE
"pc_0090",1.19533594732307,194,348,0,FALSE,FALSE,FALSE
"pc_0989",1.19536290129188,195,373.5,0,FALSE,FALSE,FALSE
"pc_0085",1.1954235038343,196,266.5,0,FALSE,FALSE,FALSE
"pc_0285",1.195437255075,197,328.5,0.05,FALSE,FALSE,FALSE
"pc_0784",1.19544063231978,198,157.5,0,FALSE,FALSE,FALSE
"pc_0298",1.19544635454884,199,142.5,0,FALSE,FALSE,FALSE
"pc_0968",1.19548227815269,200,393,0,FALSE,FALSE,FALSE
"pc_0445",1.19548263021973,201,213,0,FALSE,FALSE,FALSE
"pc_0912",1.19550577608666,202,105.5,0.1,FALSE,FALSE,FALSE
"pc_0031",1.19552091857464,203,301,0.05,FALSE,FALSE,FALSE
"pc_0231",1.19553905276252,204,131,0.05,FALSE,FALSE,FALSE
"pc_0432",1.19554753139885,205,163,0,FALSE,FALSE,FALSE
"pc_0807",1.19556245732034,206,192.5,0,FALSE,FALSE,FALSE
"pc_0595",1.19559101931596,207,309,0,FALSE,FALSE,FALSE
"pc_0408",1.1956021160852,208,450.5,0,FALSE,FALSE,FALSE
"pc_0284",1.19562014417686,209,507.5,0.05,FALSE,FALSE,FALSE
"pc_0871",1.19567215076708,210,167,0.05,FALSE,FALSE,FALSE
"pc_0785",1.19568627068611,211,169,0,FALSE,FALSE,FALSE
"pc_0293",1.19569284434974,212,334,0.05,FALSE,FALSE,FALSE
"pc_0535",1.19569505307951,213,445,0.05,FALSE,FALSE,FALSE
"pc_0206",1.19570868882883,214,404,0,FALSE,FALSE,FALSE
"pc_0537",1.19572068557586,215,93,0.05,FALSE,FALSE,FALSE
"pc_0144",1.19575065136451,216,56.5,0.05,FALSE,FALSE,FALSE
"pc_0447",1.19576892275955,217,481.5,0,FALSE,FALSE,FALSE
"pc_0159",1.1958029506202,218,328.5,0,FALSE,FALSE,FALSE
"pc_0813",1.19582342940121,219,550.5,0,FALSE,FALSE,FALSE
"pc_0410",1.19582769559481,220,178.5,0,FALSE,FALSE,FALSE
"pc_0407",1.19582942394762,221,52,0.05,FALSE,FALSE,FALSE
"pc_0136",1.19583694121013,222,511,0,FALSE,FALSE,FALSE
"pc_1004",1.19586526718794,223,421,0.1,FALSE,FALSE,FALSE
"pc_0548",1.19589556556659,224,214.5,0,FALSE,FALSE,FALSE
"pc_0270",1.19590009603426,225,173,0,FALSE,FALSE,FALSE
"pc_0666",1.19591027046711,226,234.5,0,FALSE,FALSE,FALSE
"pc_0658",1.19592002308666,227,192.5,0.1,FALSE,FALSE,FALSE
"pc_0897",1.19592226494667,228,337.5,0,FALSE,FALSE,FALSE
"pc_0955",1.19594132517325,229,483.5,0,FALSE,FALSE,FALSE
"pc_0310",1.19595079829346,230,12.5,0,FALSE,FALSE,FALSE
