"covariate","score","rank_base","rank_agg_med","freq_top20","below_fam05","below_mrg05","below_mrg01"
"h12_0533",1.19273815003426,115,290.5,0,FALSE,FALSE,FALSE
"h12_0813",1.19274418790314,116,73,0.05,FALSE,FALSE,FALSE
"h12_0977",1.19287183098189,117,76,0.05,FALSE,FALSE,FALSE
"h12_0641",1.19299661578914,118,105,0,FALSE,FALSE,FALSE
"h12_0098",1.19303477418251,119,441,0.05,FALSE,FALSE,FALSE
"h12_0025",1.1930398157755,120,205.5,0.05,FALSE,FALSE,FALSE
"h12_0925",1.19305798015442,121,472,0,FALSE,FALSE,FALSE
"h12_0836",1.19306541366084,122,91,0.05,FALSE,FALSE,FALSE
"h12_0678",1.19308113035967,123,284.5,0.05,FALSE,FALSE,FALSE
"h12_0267",1.19312200178452,124,328,0.05,FALSE,FALSE,FALSE
"h12_0231",1.19312460800598,125,124,0,FALSE,FALSE,FALSE
"h12_0651",1.19318451252264,126,243,0.05,FALSE,FALSE,FALSE
"h12_0095",1.19324067356396,127,33,0.1,FALSE,FALSE,FALSE
"h12_0140",1.19325708575314,128,8,0,FALSE,FALSE,FALSE
"h12_0129",1.19326516026339,129,84,0,FALSE,FALSE,FALSE
"h12_0221",1.19327929647121,130,88.5,0,FALSE,FALSE,FALSE
"h12_0351",1.19328898357738,131,158.5,0,FALSE,FALSE,FALSE
"h12_0157",1.1933052028923,132,69,0,FALSE,FALSE,FALSE
"h12_0807",1.19333585296105,133,78,0.05,FALSE,FALSE,FALSE
"h12_0024",1.19334416895618,134,98,0.05,FALSE,FALSE,FALSE
"h12_0983",1.19345135856899,135,163,0.05,FALSE,FALSE,FALSE
"h12_0509",1.19346949690359,136,577,0,FALSE,FALSE,FALSE
"h12_0403",1.19351263631038,137,105,0,FALSE,FALSE,FALSE
"h12_0062",1.19351638880568,138,142,0.05,FALSE,FALSE,FALSE
"h12_0291",1.19352260505896,139,387,0,FALSE,FALSE,FALSE
"h12_0797",1.19353054253195,140,41,0.05,FALSE,FALSE,FALSE
"h12_0897",1.19354101639148,141,227.5,0.05,FALSE,FALSE,FALSE
"h12_0505",1.19356082341434,142,332,0,FALSE,FALSE,FALSE
"h12_0832",1.19360290006298,143,160.5,0,FALSE,FALSE,FALSE
"h12_0909",1.19363745278047,144,213,0,FALSE,FALSE,FALSE
"h12_0346",1.19365015542843,145,117,0.05,FALSE,FALSE,FALSE
"h12_0470",1.19365385356201,146,605.5,0.05,FALSE,FALSE,FALSE
"h12_0191",1.1936711844258,147,211,0,FALSE,FALSE,FALSE
"h12_0046",1.19368357963406,148,352,0,FALSE,FALSE,FALSE
"h12_0385",1.19373637708079,149,190,0.05,FALSE,FALSE,FALSE
"h12_0252",1.19376026281485,150,118.5,0.05,FALSE,FALSE,FALSE
"h12_0751",1.19377942060202,151,441,0,FALSE,FALSE,FALSE
"h12_0176",1.19379094026936,152,199,0.05,FALSE,FALSE,FALSE
"h12_0379",1.19380287326151,153,171.5,0.05,FALSE,FALSE,FALSE
"h12_0413",1.19381812571764,154,587.5,0.05,FALSE,FALSE,FALSE
"h12_0087",1.19385601256118,155,114,0.1,FALSE,FALSE,FALSE
"h12_0766",1.19385820258948,156,132.5,0,FALSE,FALSE,FALSE
"h12_0512",1.19386744702322,157,169.5,0,FALSE,FALSE,FALSE
"h12_0390",1.19389767564594,158,41,0,FALSE,FALSE,FALSE
"h12_0034",1.19390283786049,159,179.5,0,FALSE,FALSE,FALSE
"h12_0166",1.19393409737624,160,361.5,0,FALSE,FALSE,FALSE
"h12_0248",1.19393855289699,161,318,0.05,FALSE,FALSE,FALSE
"h12_0501",1.19395303270161,162,329.5,0.05,FALSE,FALSE,FALSE
"h12_0941",1.19398945368433,163,354.5,0,FALSE,FALSE,FALSE
"h12_0075",1.19406055591978,164,231.5,0,FALSE,FALSE,FALSE
"h12_0892",1.19407516250196,165,154,0,FALSE,FALSE,FALSE
"h12_0498",1.19415817414212,166,134,0,FALSE,FALSE,FALSE
"h12_0307",1.19417023963731,167,281,0,FALSE,FALSE,FALSE
"h12_0635",1.19428515190343,168,67.5,0,FALSE,FALSE,FALSE
"h12_0440",1.19439640068277,169,304,0.05,FALSE,FALSE,FALSE
"h12_0672",1.1944250760421,170,142,0.05,FALSE,FALSE,FALSE
"h12_0974",1.19442542975567,171,315,0.05,FALSE,FALSE,FALSE
"h12_0451",1.19444407055052,172,879,0.05,FALSE,FALSE,FALSE
"h12_0513",1.19446134167906,173,372.5,0,FALSE,FALSE,FALSE
"h12_0927",1.19447810409363,174,173,0,FALSE,FALSE,FALSE
"h12_0838",1.19449269103346,175,496,0,FALSE,FALSE,FALSE
"h12_0989",1.19451697859957,176,23.5,0,FALSE,FALSE,FALSE
"h12_0039",1.19452302850308,177,194,0.05,FALSE,FALSE,FALSE
"h12_0968",1.194554016726,178,869.5,0.1,FALSE,FALSE,FALSE
"h12_0211",1.19457507629258,179,86,0.05,FALSE,FALSE,FALSE
"h12_0809",1.19458226316585,180,107,0.05,FALSE,FALSE,FALSE
"h12_0115",1.19460216767939,181,176,0.05,FALSE,FALSE,FALSE
"h12_0104",1.19465004941052,182,499,0,FALSE,FALSE,FALSE
"h12_0076",1.19468877648797,183,241,0,FALSE,FALSE,FALSE
"h12_0482",1.19471154614975,184,131,0,FALSE,FALSE,FALSE
"h12_0794",1.1947375947501,185,112,0.05,FALSE,FALSE,FALSE
"h12_0437",1.19474608309706,186,182,0,FALSE,FALSE,FALSE
"h12_0055",1.194836967085,187,155,0,FALSE,FALSE,FALSE
"h12_0647",1.19484758932071,188,101,0,FALSE,FALSE,FALSE
"h12_0768",1.1948561615951,189,82.5,0.05,FALSE,FALSE,FALSE
"h12_0037",1.19487992941612,190,224,0,FALSE,FALSE,FALSE
"h12_0719",1.19491366294451,191,272,0,FALSE,FALSE,FALSE
"h12_0618",1.1950416149732,192,314,0.05,FALSE,FALSE,FALSE
"h12_0409",1.19510854965756,193,163,0,FALSE,FALSE,FALSE
"h12_0220",1.19510939096523,194,124,0,FALSE,FALSE,FALSE
"h12_0771",1.19511129652797,195,377.5,0,FALSE,FALSE,FALSE
"h12_0392",1.19511751245651,196,195,0.05,FALSE,FALSE,FALSE
"h12_0709",1.19515055570285,197,221,0,FALSE,FALSE,FALSE
"h12_0228",1.19515376299187,198,596,0,FALSE,FALSE,FALSE
"h12_0448",1.19520498788687,199,241,0,FALSE,FALSE,FALSE
"h12_0345",1.19529727545253,200,101,0.05,FALSE,FALSE,FALSE
"h12_0508",1.19532975822568,201,209.5,0,FALSE,FALSE,FALSE
"h12_0961",1.19533156281734,202,227.5,0,FALSE,FALSE,FALSE
"h12_0558",1.19536274652954,203,222,0.05,FALSE,FALSE,FALSE
"h12_0511",1.19539588373278,204,476.5,0,FALSE,FALSE,FALSE
"h12_0047",1.19541640522569,205,301,0,FALSE,FALSE,FALSE
"h12_0003",1.19542475903736,206,177,0,FALSE,FALSE,FALSE
"h12_0920",1.19544019429382,207,280,0.05,FALSE,FALSE,FALSE
"h12_0123",1.19544625073432,208,336,0,FALSE,FALSE,FALSE
"h12_0006",1.19552608953527,209,584,0,FALSE,FALSE,FALSE
"h12_0963",1.19552715199849,210,603,0,FALSE,FALSE,FALSE
"h12_0752",1.19554584885402,211,617,0,FALSE,FALSE,FALSE
"h12_0839",1.1955969401526,212,15.5,0,FALSE,FALSE,FALSE
"h12_0441",1.1956153611363,213,93.5,0.1,FALSE,FALSE,FALSE
"h12_0009",1.19562907450946,214,168,0,FALSE,FALSE,FALSE
"h12_0469",1.19563249771928,215,263.5,0,FALSE,FALSE,FALSE
"h12_0060",1.19563854259637,216,64.5,0,FALSE,FALSE,FALSE
"h12_0141",1.19566169749067,217,88.5,0.05,FALSE,FALSE,FALSE
"h12_0325",1.19570338827952,218,101,0.05,FALSE,FALSE,FALSE
"h12_0670",1.19574917963855,219,188,0.1,FALSE,FALSE,FALSE
"h12_0161",1.19575307349089,220,469.5,0,FALSE,FALSE,FALSE
"h12_0629",1.19575420945628,221,476.5,0,FALSE,FALSE,FALSE
"h12_0474",1.19576868930375,222,263.5,0.05,FALSE,FALSE,FALSE
"h12_0314",1.19578083886857,223,189,0,FALSE,FALSE,FALSE
"h12_0012",1.19582345347194,224,385,0,FALSE,FALSE,FALSE
"h12_0229",1.19583640865587,225,86,0,FALSE,FALSE,FALSE
"h12_0632",1.19586938816907,226,356.5,0,FALSE,FALSE,FALSE
"h12_0336",1.19588299649463,227,248.5,0,FALSE,FALSE,FALSE
"h12_0349",1.195910753068,228,148.5,0,FALSE,FALSE,FALSE
"h12_0175",1.19591904096046,229,278,0.05,FALSE,FALSE,FALSE
"h12_0233",1.19595741268951,230,34.5,0,FALSE,FALSE,FALSE
"h12_0266",1.19600745337485,231,252.5,0.1,FALSE,FALSE,FALSE
"h12_0338",1.19601905114674,232,103,0.05,FALSE,FALSE,FALSE
"h12_0780",1.19602837069924,233,414,0,FALSE,FALSE,FALSE
"h12_0704",1.19602941208682,234,234.5,0.05,FALSE,FALSE,FALSE
"h12_0604",1.19604618740395,235,488,0.1,FALSE,FALSE,FALSE
"h12_0043",1.19604997039902,236,359,0.05,FALSE,FALSE,FALSE
"h12_0022",1.19605967691018,237,171.5,0,FALSE,FALSE,FALSE
"h12_0729",1.1960653438684,238,598.5,0,FALSE,FALSE,FALSE
"h12_0029",1.19608035068407,239,48,0,FALSE,FALSE,FALSE
