"n","p","model","rule","sure4","sure20"
4000,500,"M1","screen 9 minimum",0.75,1
4000,500,"M1","quantile .95",1,1
4000,500,"M1","pipeline + 9 min",0.875,1
4000,500,"M2","screen seul",0.225,0.675
4000,500,"M2","screen 9 mediane",0.375,0.7
4000,500,"M2","screen 9 minimum",0.275,0.825
4000,500,"M2","quantile .95",0.1,1
4000,500,"M2","pipeline + 9 min",0.5,1
4000,500,"M3","screen seul",0.2,0.475
4000,500,"M3","screen 9 mediane",0.05,0.45
4000,500,"M3","screen 9 minimum",0.075,0.625
4000,500,"M3","quantile .95",0.725,0.975
4000,500,"M3","pipeline + 9 min",0.25,0.975
4000,500,"M4","screen seul",0,0.3
4000,500,"M4","screen 9 mediane",0,0.2
4000,500,"M4","screen 9 minimum",0,0.325
4000,500,"M4","quantile .95",0.3,0.95
4000,500,"M4","pipeline + 9 min",0.05,0.9
4000,1000,"M1","screen seul",0.8,0.95
4000,1000,"M1","screen 9 mediane",0.775,0.975
4000,1000,"M1","screen 9 minimum",0.75,1
4000,1000,"M1","quantile .95",0.925,1
4000,1000,"M1","pipeline + 9 min",0.925,1
4000,1000,"M2","screen seul",0.275,0.675
4000,1000,"M2","screen 9 mediane",0.475,0.85
4000,1000,"M2","screen 9 minimum",0.325,0.85
4000,1000,"M2","quantile .95",0.25,1
4000,1000,"M2","pipeline + 9 min",0.725,1
4000,1000,"M3","screen seul",0.1,0.55
4000,1000,"M3","screen 9 mediane",0.125,0.45
4000,1000,"M3","screen 9 minimum",0.075,0.675
4000,1000,"M3","quantile .95",0.65,0.925
4000,1000,"M3","pipeline + 9 min",0.325,0.925
4000,1000,"M4","screen seul",0,0.175
4000,1000,"M4","screen 9 mediane",0,0.1
4000,1000,"M4","screen 9 minimum",0,0.225
4000,1000,"M4","quantile .95",0.225,0.75
4000,1000,"M4","pipeline + 9 min",0.125,0.775
4000,2000,"M1","screen seul",0.6,0.925
4000,2000,"M1","screen 9 mediane",0.75,0.95
4000,2000,"M1","screen 9 minimum",0.6,0.975
4000,2000,"M1","quantile .95",1,1
4000,2000,"M1","pipeline + 9 min",0.85,1
4000,2000,"M2","screen seul",0.1,0.45
4000,2000,"M2","screen 9 mediane",0.175,0.475
4000,2000,"M2","screen 9 minimum",0.1,0.7
4000,2000,"M2","quantile .95",0.225,0.975
4000,2000,"M2","pipeline + 9 min",0.35,0.975
4000,2000,"M3","screen seul",0.05,0.325
4000,2000,"M3","screen 9 mediane",0,0.35
4000,2000,"M3","screen 9 minimum",0,0.4
4000,2000,"M3","quantile .95",0.35,0.9
4000,2000,"M3","pipeline + 9 min",0.2,0.9
4000,2000,"M4","screen seul",0,0.225
4000,2000,"M4","screen 9 mediane",0,0.05
4000,2000,"M4","screen 9 minimum",0,0.225
4000,2000,"M4","quantile .95",0.2,0.8
4000,2000,"M4","pipeline + 9 min",0.025,0.775
