"n","p","rho","model","rule","reps","sure4","sure10","sure20","sure30","sure50","ermax","top4_scale","top24_scale"
2000,1000,0,"M1","pipeline + 9 min",100,0.43,0.78,0.91,0.91,0.91,6.40659340659341,NA,NA
2000,1000,0,"M2","screen seul",100,0,0.05,0.1,0.14,0.18,315.24,1.18,4.66
2000,1000,0,"M2","screen 9 minimum",100,0,0.13,0.23,0.34,0.45,108.79,0.89,4.18
2000,1000,0,"M2","Yoshida-Umezu",100,0,0,0,0.03,0.07,360.1,1.65,8.56
2000,1000,0,"M2","quantile .90",100,0,0,0.01,0.56,0.79,52.31,4,20
2000,1000,0,"M2","quantile .95",100,0,0.01,0.01,0.69,0.86,42.46,3.9,19.87
2000,1000,0,"M2","quantile .975",100,0,0.04,0.13,0.44,0.79,45.21,3.12,16.05
2000,1000,0,"M2","quantile .99",100,0,0.01,0.03,0.07,0.25,142.45,0.94,5.33
2000,1000,0,"M2","pipeline + 9 min",100,0.06,0.3,0.41,0.41,0.41,8.70731707317073,NA,NA
2000,1000,0,"M3","screen seul",100,0.01,0.04,0.08,0.12,0.19,311.07,0.03,0.39
2000,1000,0,"M3","screen 9 minimum",100,0.01,0.06,0.13,0.22,0.29,177.65,0.08,0.37
2000,1000,0,"M3","Yoshida-Umezu",100,0,0.01,0.04,0.04,0.05,533.5,0.19,0.75
2000,1000,0,"M3","quantile .90",100,0,0.02,0.02,0.05,0.13,239.75,0.14,0.67
2000,1000,0,"M3","quantile .95",100,0.02,0.18,0.3,0.43,0.56,87.3,0.06,0.39
2000,1000,0,"M3","quantile .975",100,0.01,0.04,0.1,0.26,0.4,142.59,0.07,0.4
2000,1000,0,"M3","quantile .99",100,0,0,0.01,0.01,0.05,285.11,0.04,0.45
2000,1000,0,"M3","pipeline + 9 min",100,0.04,0.24,0.4,0.41,0.41,10.4390243902439,NA,NA
2000,1000,0,"M4","screen seul",100,0.13,0.32,0.44,0.5,0.57,87.04,0.02,0.41
2000,1000,0,"M4","screen 9 minimum",100,0.16,0.51,0.73,0.76,0.82,41.16,0.05,0.41
2000,1000,0,"M4","Yoshida-Umezu",100,0.02,0.07,0.09,0.12,0.15,349.71,0.12,0.64
2000,1000,0,"M4","quantile .90",100,0.02,0.18,0.24,0.38,0.46,120.84,0.06,0.66
2000,1000,0,"M4","quantile .95",100,0.25,0.62,0.83,0.89,0.94,15.54,0,0.4
2000,1000,0,"M4","quantile .975",100,0.08,0.49,0.76,0.86,0.92,20.36,0.04,0.36
2000,1000,0,"M4","quantile .99",100,0,0.03,0.11,0.23,0.45,130.67,0.05,0.48
2000,1000,0,"M4","pipeline + 9 min",100,0.4,0.73,0.86,0.86,0.86,6.55813953488372,NA,NA
2000,1000,0.25,"M1","screen seul",100,0.76,0.88,0.93,0.96,0.97,8.59,0.01,0.42
2000,1000,0.25,"M1","screen 9 minimum",100,0.83,0.96,0.97,0.97,1,5.29,0,0.55
2000,1000,0.25,"M1","Yoshida-Umezu",100,0.13,0.27,0.35,0.4,0.42,228.55,0.39,1.53
2000,1000,0.25,"M1","quantile .90",100,0.21,0.61,0.79,0.86,0.94,18.75,0.33,1.27
2000,1000,0.25,"M1","quantile .95",100,0.83,0.98,0.99,1,1,4.52,0.01,0.75
2000,1000,0.25,"M1","quantile .975",100,0.66,0.96,1,1,1,5.05,0,0.61
2000,1000,0.25,"M1","quantile .99",100,0.05,0.35,0.57,0.72,0.95,23.37,0.04,0.42
2000,1000,0.25,"M1","pipeline + 9 min",100,0.89,1,1,1,1,4.23,NA,NA
2000,1000,0.25,"M2","screen seul",100,0.29,0.6,0.74,0.8,0.84,31.46,0.3,2.36
2000,1000,0.25,"M2","screen 9 minimum",100,0.48,0.83,0.89,0.93,0.95,11.44,0.15,2.01
2000,1000,0.25,"M2","Yoshida-Umezu",100,0,0.03,0.07,0.09,0.21,238.65,1.54,7.7
2000,1000,0.25,"M2","quantile .90",100,0,0,0.04,1,1,23.59,3.7,20
2000,1000,0.25,"M2","quantile .95",100,0.01,0.26,0.57,1,1,16.99,2.27,19.24
2000,1000,0.25,"M2","quantile .975",100,0.13,0.62,0.87,0.95,0.98,11.69,1.08,12.1
2000,1000,0.25,"M2","quantile .99",100,0.05,0.2,0.49,0.67,0.83,31.94,0.29,3.02
2000,1000,0.25,"M2","pipeline + 9 min",100,0.69,0.92,0.95,0.95,0.95,4.68421052631579,NA,NA
2000,1000,0.25,"M3","screen seul",100,0.17,0.37,0.5,0.56,0.64,115.08,0.02,0.34
2000,1000,0.25,"M3","screen 9 minimum",100,0.17,0.52,0.62,0.68,0.76,53.23,0.05,0.41
2000,1000,0.25,"M3","Yoshida-Umezu",100,0.01,0.07,0.14,0.16,0.21,321.12,0.2,0.79
2000,1000,0.25,"M3","quantile .90",100,0.04,0.21,0.41,0.49,0.64,59.57,0.38,1.33
2000,1000,0.25,"M3","quantile .95",100,0.34,0.73,0.86,0.94,0.95,15.48,0.02,0.45
2000,1000,0.25,"M3","quantile .975",100,0.03,0.47,0.73,0.84,0.9,27.04,0.04,0.38
2000,1000,0.25,"M3","quantile .99",100,0,0.04,0.14,0.25,0.41,114.81,0.07,0.46
2000,1000,0.25,"M3","pipeline + 9 min",100,0.39,0.75,0.87,0.9,0.9,6.77777777777778,NA,NA
2000,1000,0.25,"M4","screen seul",100,0.69,0.82,0.92,0.94,0.95,18.31,0,0.37
2000,1000,0.25,"M4","screen 9 minimum",100,0.7,0.94,0.95,0.96,0.98,7.65,0.03,0.47
2000,1000,0.25,"M4","Yoshida-Umezu",100,0.21,0.42,0.49,0.53,0.59,110.22,0.4,1.52
2000,1000,0.25,"M4","quantile .90",100,0.28,0.71,0.84,0.89,0.92,19.09,0.29,1.22
2000,1000,0.25,"M4","quantile .95",100,0.78,0.96,0.98,0.98,0.99,6.83,0.01,0.73
2000,1000,0.25,"M4","quantile .975",100,0.47,0.95,0.99,0.99,0.99,6.67,0.02,0.44
2000,1000,0.25,"M4","quantile .99",100,0.04,0.25,0.48,0.66,0.87,31.31,0.05,0.41
2000,1000,0.25,"M4","pipeline + 9 min",100,0.83,0.97,0.98,0.98,0.98,4.36734693877551,NA,NA
2000,2000,0,"M1","screen seul",100,0.18,0.37,0.52,0.56,0.63,83.24,0,0.22
2000,2000,0,"M1","screen 9 minimum",100,0.11,0.54,0.74,0.86,0.91,27.19,0.01,0.23
2000,2000,0,"M1","Yoshida-Umezu",100,0.03,0.03,0.04,0.06,0.07,961.71,0.18,0.5
2000,2000,0,"M1","quantile .90",100,0.01,0.04,0.08,0.17,0.25,220.19,0.14,0.38
2000,2000,0,"M1","quantile .95",100,0.19,0.64,0.81,0.85,0.91,17.45,0,0.21
2000,2000,0,"M1","quantile .975",100,0.08,0.36,0.69,0.84,0.92,21.56,0.02,0.22
2000,2000,0,"M1","quantile .99",100,0,0.02,0.07,0.14,0.29,127.68,0.03,0.31
2000,2000,0,"M1","pipeline + 9 min",100,0.36,0.8,0.83,0.83,0.83,5.51807228915663,NA,NA
2000,2000,0,"M2","screen seul",100,0,0.02,0.06,0.1,0.17,511.58,1.09,3.52
2000,2000,0,"M2","screen 9 minimum",100,0,0.08,0.16,0.27,0.36,224.66,0.73,3.1
2000,2000,0,"M2","Yoshida-Umezu",100,0,0,0,0,0.03,685.02,1.45,7.02
2000,2000,0,"M2","quantile .90",100,0,0,0,0.41,0.72,65.29,4,20
2000,2000,0,"M2","quantile .95",100,0,0,0.02,0.51,0.71,68.69,3.87,19.76
2000,2000,0,"M2","quantile .975",100,0,0.01,0.13,0.32,0.58,77.23,2.76,14.76
2000,2000,0,"M2","quantile .99",100,0,0.01,0.01,0.04,0.07,241.88,0.58,3.48
2000,2000,0,"M2","pipeline + 9 min",100,0.05,0.22,0.28,0.3,0.3,8.56666666666667,NA,NA
2000,2000,0,"M3","screen seul",100,0,0.02,0.06,0.09,0.15,636.11,0.04,0.24
2000,2000,0,"M3","screen 9 minimum",100,0,0.02,0.03,0.08,0.14,383.92,0.05,0.23
2000,2000,0,"M3","Yoshida-Umezu",100,0,0,0.01,0.01,0.01,1050.32,0.07,0.36
2000,2000,0,"M3","quantile .90",100,0,0.02,0.03,0.03,0.05,491.14,0.11,0.32
2000,2000,0,"M3","quantile .95",100,0,0.06,0.16,0.18,0.32,175.94,0.02,0.14
2000,2000,0,"M3","quantile .975",100,0,0,0.02,0.04,0.12,257.66,0.01,0.22
2000,2000,0,"M3","quantile .99",100,0,0,0,0,0,637.3,0.07,0.23
2000,2000,0,"M3","pipeline + 9 min",100,0,0.09,0.17,0.17,0.17,11.5294117647059,NA,NA
2000,2000,0,"M4","screen seul",100,0.07,0.3,0.48,0.52,0.59,135.08,0,0.16
2000,2000,0,"M4","screen 9 minimum",100,0.05,0.46,0.62,0.74,0.8,58.58,0.01,0.1
2000,2000,0,"M4","Yoshida-Umezu",100,0.01,0.06,0.07,0.11,0.2,575.76,0.08,0.44
2000,2000,0,"M4","quantile .90",100,0,0.05,0.14,0.21,0.34,204.11,0.13,0.4
2000,2000,0,"M4","quantile .95",100,0.13,0.58,0.76,0.86,0.88,32.42,0.02,0.19
2000,2000,0,"M4","quantile .975",100,0.05,0.32,0.57,0.69,0.82,40.88,0.01,0.18
2000,2000,0,"M4","quantile .99",100,0,0.01,0.04,0.09,0.22,184.32,0.03,0.14
2000,2000,0,"M4","pipeline + 9 min",100,0.27,0.76,0.81,0.83,0.83,6.46987951807229,NA,NA
2000,2000,0.25,"M1","screen seul",100,0.69,0.89,0.94,0.95,0.96,11.75,0,0.18
2000,2000,0.25,"M1","screen 9 minimum",100,0.8,0.95,0.97,0.99,1,5.21,0,0.19
2000,2000,0.25,"M1","Yoshida-Umezu",100,0.17,0.29,0.33,0.4,0.43,361.5,0.26,1.21
2000,2000,0.25,"M1","quantile .90",100,0.17,0.45,0.73,0.83,0.89,31.26,0.29,1.11
2000,2000,0.25,"M1","quantile .95",100,0.74,0.98,1,1,1,4.69,0,0.32
2000,2000,0.25,"M1","quantile .975",100,0.5,0.93,0.96,0.96,0.99,6.72,0,0.19
2000,2000,0.25,"M1","quantile .99",100,0.01,0.18,0.47,0.58,0.75,40.04,0.01,0.18
2000,2000,0.25,"M1","pipeline + 9 min",100,0.9,0.98,1,1,1,4.28,NA,NA
2000,2000,0.25,"M2","screen seul",100,0.23,0.5,0.57,0.63,0.68,149.87,0.15,1.59
2000,2000,0.25,"M2","screen 9 minimum",100,0.33,0.73,0.78,0.85,0.91,29.17,0.1,1.41
2000,2000,0.25,"M2","Yoshida-Umezu",100,0.01,0.01,0.03,0.08,0.13,491.21,1.24,6.43
2000,2000,0.25,"M2","quantile .90",100,0,0,0.04,0.95,1,24.22,3.65,20
2000,2000,0.25,"M2","quantile .95",100,0.04,0.33,0.63,0.96,1,15.98,2.15,18.54
2000,2000,0.25,"M2","quantile .975",100,0.17,0.58,0.84,0.92,0.96,13.54,0.86,9.08
2000,2000,0.25,"M2","quantile .99",100,0.01,0.07,0.26,0.39,0.54,64.46,0.26,1.79
2000,2000,0.25,"M2","pipeline + 9 min",100,0.6,0.91,0.93,0.93,0.93,4.82795698924731,NA,NA
2000,2000,0.25,"M3","screen seul",100,0.15,0.37,0.44,0.54,0.6,116.8,0.02,0.13
2000,2000,0.25,"M3","screen 9 minimum",100,0.11,0.41,0.58,0.65,0.73,76.76,0.02,0.23
2000,2000,0.25,"M3","Yoshida-Umezu",100,0,0.01,0.04,0.04,0.1,627.66,0.16,0.63
2000,2000,0.25,"M3","quantile .90",100,0.04,0.22,0.35,0.47,0.65,118.57,0.26,0.71
2000,2000,0.25,"M3","quantile .95",100,0.29,0.66,0.83,0.88,0.91,23.9,0.02,0.34
2000,2000,0.25,"M3","quantile .975",100,0.03,0.29,0.53,0.64,0.78,38.28,0.01,0.26
2000,2000,0.25,"M3","quantile .99",100,0,0.02,0.06,0.12,0.19,214.67,0.04,0.19
2000,2000,0.25,"M3","pipeline + 9 min",100,0.26,0.75,0.85,0.86,0.86,6.81395348837209,NA,NA
2000,2000,0.25,"M4","screen seul",100,0.75,0.88,0.89,0.93,0.94,23.46,0,0.28
2000,2000,0.25,"M4","screen 9 minimum",100,0.7,0.94,0.95,0.96,0.98,7.17,0,0.3
2000,2000,0.25,"M4","Yoshida-Umezu",100,0.16,0.4,0.45,0.56,0.61,234.4,0.28,1.26
2000,2000,0.25,"M4","quantile .90",100,0.28,0.68,0.81,0.84,0.93,33.7,0.12,0.84
2000,2000,0.25,"M4","quantile .95",100,0.73,0.99,1,1,1,4.54,0,0.27
2000,2000,0.25,"M4","quantile .975",100,0.39,0.84,0.92,0.95,0.98,9.15,0.01,0.26
2000,2000,0.25,"M4","quantile .99",100,0.01,0.06,0.3,0.47,0.63,57.73,0.02,0.18
2000,2000,0.25,"M4","pipeline + 9 min",100,0.85,0.99,1,1,1,4.36,NA,NA
