"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"scale_11",1.21947504027327,45,257.5,110.5,0.1,FALSE,FALSE,FALSE,FALSE,0.109715753424658,15,10,24
"scale_05",1.23905460622093,248,259,164.5,0,FALSE,FALSE,FALSE,FALSE,0.816311643835616,5,9,6
"emb_044",1.24002498978645,259,260,285,0.05,FALSE,FALSE,FALSE,FALSE,0.843712328767123,189,212,288
"rate_newline",1.23478939051363,211,261,247,0.15,FALSE,FALSE,FALSE,FALSE,0.663702054794521,26,24,98
"emb_148",1.22470738882669,87,262,177.5,0,FALSE,FALSE,FALSE,FALSE,0.251075342465753,54,120,216
"emb_091",1.23398575555823,194,263,182.5,0.05,FALSE,FALSE,FALSE,FALSE,0.630777397260274,216,197,275
"emb_155",1.24379655613632,283,264.5,238,0,FALSE,FALSE,FALSE,FALSE,0.924315068493151,167,201,140
"emb_232",1.2397182994988,254,264.5,287,0.05,FALSE,FALSE,FALSE,FALSE,0.835280821917808,237,292,236
"emb_229",1.23125164202646,151,266.5,205,0.05,FALSE,FALSE,FALSE,FALSE,0.514462328767123,162,189,97
"emb_245",1.23637492274565,232,266.5,281,0.1,FALSE,FALSE,FALSE,FALSE,0.72636301369863,230,192,242
"emb_005",1.23968228440677,253,268,174,0.05,FALSE,FALSE,FALSE,FALSE,0.834243150684931,63,118,200
"scale_18",1.23990690453766,258,269,264,0.1,FALSE,FALSE,FALSE,FALSE,0.840510273972603,17,19,32
"emb_162",1.23972224621141,255,270.5,270,0,FALSE,FALSE,FALSE,FALSE,0.83536301369863,253,162,278
"emb_170",1.23750250824015,238,270.5,251,0,FALSE,FALSE,FALSE,FALSE,0.766020547945205,221,263,150
"emb_023",1.24377602309448,282,273,217,0.1,FALSE,FALSE,FALSE,FALSE,0.923979452054794,65,51,144
"emb_193",1.237590351358,240,273,239.5,0.05,FALSE,FALSE,FALSE,FALSE,0.769041095890411,188,196,213
"emb_233",1.24904476078557,289,273,221.5,0.05,FALSE,FALSE,FALSE,FALSE,0.978606164383562,258,282,183
"emb_135",1.24321826955053,279,275,286,0,FALSE,FALSE,FALSE,FALSE,0.914547945205479,247,281,198
"emb_172",1.23666126594533,234,276,254.5,0,FALSE,FALSE,FALSE,FALSE,0.736414383561644,168,161,283
"emb_136",1.24855843826892,288,277,290,0.05,FALSE,FALSE,FALSE,FALSE,0.975571917808219,97,122,263
"emb_211",1.23622766633955,230,278.5,284,0,FALSE,FALSE,FALSE,FALSE,0.720715753424658,179,193,149
"emb_225",1.24140701916384,269,278.5,272,0.05,FALSE,FALSE,FALSE,FALSE,0.87791095890411,64,213,210
"emb_209",1.2408300316355,264,280,288.5,0.05,FALSE,FALSE,FALSE,FALSE,0.864328767123288,78,106,226
"emb_076",1.23392242092029,192,281,271,0,FALSE,FALSE,FALSE,FALSE,0.628044520547945,199,194,289
"emb_079",1.24163629238773,271,282,179.5,0,FALSE,FALSE,FALSE,FALSE,0.882965753424658,95,140,195
"len_words",1.23203875722646,157,283,249,0.1,FALSE,FALSE,FALSE,FALSE,0.548359589041096,93,77,166
"len_spaces",1.23161018252314,155,284.5,244,0.1,FALSE,FALSE,FALSE,FALSE,0.530075342465753,99,76,157
"emb_198",1.24086628230841,267,284.5,282,0,FALSE,FALSE,FALSE,FALSE,0.865202054794521,245,269,253
"emb_168",1.23942218413628,251,286.5,278,0,FALSE,FALSE,FALSE,FALSE,0.827150684931507,130,164,192
"emb_214",1.24066181823347,262,286.5,288.5,0.05,FALSE,FALSE,FALSE,FALSE,0.860147260273973,287,257,189
"emb_133",1.24578274612688,285,288,280,0.05,FALSE,FALSE,FALSE,FALSE,0.951376712328767,164,250,186
"scale_06",1.25179554937284,292,289,234.5,0.05,FALSE,FALSE,FALSE,FALSE,0.990219178082192,21,21,9
"emb_120",1.24235314153446,275,290,279,0.05,FALSE,FALSE,FALSE,FALSE,0.898006849315068,108,97,113
"emb_249",1.24203678184706,274,291,291,0,FALSE,FALSE,FALSE,FALSE,0.891767123287671,276,244,99
"emb_084",1.24376789679922,281,292,292,0.05,FALSE,FALSE,FALSE,FALSE,0.923811643835616,193,169,148
