doc_id,M_128,M_256,M_512,M_1024
<urn:uuid:dbd7234d-24f5-449f-9f55-6e8123c23d5c>,10.539905548095703,11.977991104125977,12.591845512390137,13.995563507080078
<urn:uuid:5fae2423-669c-4c9e-9742-8c9c48b68053>,13.238471984863281,13.238471984863281,13.238471984863281,18.38214683532715
<urn:uuid:5446f50a-584a-458a-8732-541e41faa1c0>,12.681029319763184,14.400124549865723,14.400124549865723,14.400124549865723
<urn:uuid:bee045af-e9ac-4651-9563-af878f537ee5>,10.86854362487793,10.86854362487793,13.7073392868042,13.7073392868042
<urn:uuid:932c3171-ce6b-47c2-bde1-c7686e0c1928>,10.577889442443848,11.92929458618164,15.374090194702148,15.374090194702148
<urn:uuid:f42e0c0f-a3af-48c6-974e-eb13f4cc9873>,11.772022247314453,11.772022247314453,11.827291488647461,12.773052215576172
<urn:uuid:af2e8a20-6f15-4c35-88ef-dfaadcd3b5e1>,11.020119667053223,13.891824722290039,13.891824722290039,16.30038070678711
<urn:uuid:33420191-3c25-4d3d-9be4-b6ef028ac292>,11.17146110534668,11.17146110534668,12.863367080688477,12.863367080688477
<urn:uuid:c5cd46e5-4144-4876-92ba-d8ddd6c4e7f6>,13.843587875366211,13.843587875366211,13.843587875366211,15.790044784545898
<urn:uuid:43e251b2-b604-4fff-a2a0-987e314ccfc5>,8.732162475585938,11.98027515411377,14.031787872314453,14.031787872314453
<urn:uuid:80ba6368-21b6-4363-9bb9-4da0d721b55f>,14.111724853515625,14.111724853515625,14.111724853515625,14.111724853515625
<urn:uuid:6c6eba00-6d93-4395-9fdf-07f0f4329fe7>,12.130406379699707,13.307755470275879,13.307755470275879,14.342232704162598
<urn:uuid:015e13e0-e0e2-410e-984b-1467c8508695>,14.769759178161621,14.769759178161621,14.783249855041504,15.1063232421875
<urn:uuid:d8426254-eee8-4613-bbcc-791ac0bbb5ec>,12.128629684448242,12.58633804321289,12.58633804321289,12.58633804321289
<urn:uuid:3b1f59b3-1992-494b-8244-a7c367886d29>,10.380959510803223,11.538190841674805,11.728256225585938,13.348991394042969
<urn:uuid:5c8a5203-e5d0-4ea1-938c-de8c48b0da5a>,14.523512840270996,14.523512840270996,14.523512840270996,14.523512840270996
<urn:uuid:2ccec195-bcac-4fe1-b0f3-1f77c50eeb95>,12.58305549621582,13.413270950317383,15.758191108703613,15.758191108703613
