doc_id,stored,fp32,fp64,ecart
<urn:uuid:08ca8c0e-37d0-4cd5-baa9-179f5fd3392c>,22.62958335876465,22.62958335876465,22.62951098318594,-7.237557870709566e-05
<urn:uuid:f099b993-c416-4751-9c93-6e885d3dfb97>,16.736103057861328,16.736103057861328,16.736136718992682,3.366113135427895e-05
<urn:uuid:90763981-751d-4cb0-bd93-e5583d13efe0>,19.21600341796875,19.21600341796875,19.2163756804513,0.00037226248254995653
<urn:uuid:b907c398-26d3-4745-a567-24c0525753d3>,18.05142593383789,18.05142593383789,18.05162589892207,0.0001999650841781886
<urn:uuid:924a3bf8-cd2c-4e6b-b1ba-cd091b84724f>,16.902746200561523,16.902746200561523,16.902946347431065,0.00020014686954183958
<urn:uuid:c153c847-2a0f-40b7-95ca-aeca97918bdf>,16.741134643554688,16.741134643554688,16.74119736535476,6.27218000737173e-05
<urn:uuid:1a117bb0-cfcf-48f8-b89a-706ac25a2c56>,18.85515022277832,18.85515022277832,18.855051754778547,-9.846799977353271e-05
<urn:uuid:04b450ac-afa3-46ff-a265-0f07c43660a4>,17.666427612304688,17.666427612304688,17.666451589511066,2.3977206378589244e-05
<urn:uuid:30f57206-fcc4-4ab1-8dc5-c1d2c4634f73>,16.977609634399414,16.977609634399414,16.977668047469443,5.841307002896201e-05
<urn:uuid:691e643b-1d81-410c-bc92-875849c06b56>,19.344043731689453,19.344043731689453,19.34381652946696,-0.00022720222249361655
<urn:uuid:c774fc2a-2679-4d61-8ce1-5e40c0f6d082>,18.28506851196289,18.28506851196289,18.28513512475967,6.661279677899756e-05
<urn:uuid:02026d5d-5e77-4b1d-bc76-7a1565d6490d>,18.076791763305664,18.076791763305664,18.076846851906254,5.508860058967002e-05
<urn:uuid:335dbf1c-1aae-47ff-b943-619bf00a9520>,17.196008682250977,17.196008682250977,17.19607765596284,6.897371186198598e-05
<urn:uuid:f2c63cfa-720c-454d-b3ab-7451fc82a350>,18.34214210510254,18.34214210510254,18.342226164031267,8.405892872787035e-05
<urn:uuid:cba326e0-1749-4d20-88d3-2f642fbbcee9>,16.854177474975586,16.854177474975586,16.854155550692674,-2.1924282911811588e-05
<urn:uuid:e7dda316-e209-4963-aa99-ba448a53c83a>,16.93638801574707,16.93638801574707,16.93634492755518,-4.3088191890916505e-05
<urn:uuid:01a8d089-79e2-451d-9e5c-3951ac703465>,17.607667922973633,17.607667922973633,17.607623199814043,-4.4723159589921124e-05
<urn:uuid:91f006fa-11a5-4ba0-91ba-9bbe97416c8b>,22.003646850585938,22.003646850585938,22.003637360306225,-9.490279712309757e-06
<urn:uuid:9797d158-486d-4803-9399-c73ad2109d08>,16.613237380981445,16.613237380981445,16.61316199409836,-7.538688308628139e-05
<urn:uuid:8e2c1348-eca3-4e2a-ace3-5033e97d7be0>,17.575468063354492,17.575468063354492,17.57548160416376,1.3540809266743281e-05
<urn:uuid:f58ed2cb-c972-4579-a089-aef2ab511aee>,17.025375366210938,17.025375366210938,17.025356835151225,-1.853105971250102e-05
<urn:uuid:62fa0303-10a1-4f9f-a8eb-41b44af7761b>,19.77893829345703,19.77893829345703,19.779183183237798,0.00024488978076675494
<urn:uuid:b6ea27b0-531e-4494-8e36-bce2cd40b696>,17.646543502807617,17.646543502807617,17.646653902806353,0.00011039999873574402
<urn:uuid:2573de77-b934-43a9-8abc-833cd25965fb>,17.7750244140625,17.7750244140625,17.775184485777668,0.0001600717151681863
<urn:uuid:44ba4ccb-ec1d-46ae-a025-092744c4b851>,17.34321403503418,17.34321403503418,17.34339662084404,0.00018258580985985873
<urn:uuid:fe24fd09-6924-4505-b279-70a8cc2d798a>,19.408218383789062,19.408218383789062,19.40808700047036,-0.0001313833187026603
<urn:uuid:ad0e8238-af72-4a95-a379-23039ad08f25>,18.6126708984375,18.6126708984375,18.612699334938807,2.843650130657238e-05
<urn:uuid:375a5f17-ae55-408d-90e7-c839e2337d8d>,18.49097442626953,18.49097442626953,18.490889814101845,-8.461216768651525e-05
<urn:uuid:c177eba9-4dfc-4c2d-a417-085a332b8314>,17.124784469604492,17.124784469604492,17.124773410250295,-1.1059354196873983e-05
<urn:uuid:381c7247-a737-4f79-adcc-fd8e9be7bd16>,16.74961280822754,16.74961280822754,16.749651657893025,3.884966548639568e-05
<urn:uuid:78a95f51-c4c1-4962-a19e-65d4b5715a2b>,18.03512954711914,18.03512954711914,18.035274153184865,0.00014460606572441748
<urn:uuid:d7bea3c5-0ef6-4301-be51-238653d239a4>,16.755340576171875,16.755340576171875,16.755473743064098,0.000133166892222647
<urn:uuid:baba9777-9691-42ed-94dd-f80ece0f9b85>,18.239990234375,18.239990234375,18.23991400218717,-7.623218782981667e-05
<urn:uuid:c5134a49-eaf5-42a4-84d4-9c8fab539d01>,18.876296997070312,18.876296997070312,18.87624158015586,-5.541691445287711e-05
<urn:uuid:4d0620be-2da1-4d7f-8107-32f2f51a5236>,16.694316864013672,16.694316864013672,16.694323415326025,6.551312353053618e-06
<urn:uuid:5bd731a9-e51a-4e4d-9769-24b9fa8907df>,20.087907791137695,20.087907791137695,20.0880111276493,0.00010333651160365775
<urn:uuid:67ddea49-2acc-4b37-8e24-b4b6f36e9db9>,18.010570526123047,18.010570526123047,18.010350436196294,-0.00022008992675282002
<urn:uuid:24c584d5-43b4-4919-8fb4-eaac986f62d1>,21.43311309814453,21.43311309814453,21.432900413583134,-0.00021268456139722502
