"model","n","p","rho","ours","yu","qsis","yu_undefined"
"M3",2000,1000,0.25,0.843374999999992,6.22367500000003,8.07961249999998,0
"M3",2000,1000,0.3,0.875624999999968,6.11769999999995,8.10650000000002,0
"M3",2000,1000,0.4,0.838224999999989,6.09932500000004,8.04040625000001,0
"M3",2000,1000,0.5,0.863274999999953,6.18167499999995,8.17848750000001,0
"M3",2000,2000,0,1.86625000000001,11.4008000000001,16.1704125,0
"M3",2000,2000,0.2,1.92847500000009,11.0981999999999,16.174425,0
"M3",2000,2000,0.25,1.84872499999997,11.01475,16.06244375,0
"M3",2000,2000,0.3,1.93305000000012,11.41955,16.23448125,0
"M3",2000,2000,0.4,1.81832500000003,10.778275,16.1198375,0
"M3",2000,2000,0.5,1.88434999999995,11.1727749999999,16.2380625,0
"M3",5000,200,0,0.780149999999912,2.43575000000033,7.55888749999997,0
"M3",5000,200,0.2,0.795224999999891,2.48232499999999,7.62876250000002,0
"M3",5000,200,0.25,0.760575000000154,2.38667499999992,7.57482500000003,0
"M3",5000,200,0.3,0.813525000000072,2.52244999999994,7.59526875000003,0
"M3",5000,200,0.4,0.777275000000145,2.39929999999995,7.56555,0
"M3",5000,200,0.5,0.788849999999866,2.52222499999998,7.60983750000001,0
"M3",5000,500,0,1.09490000000001,6.14322500000003,18.8062125,0
"M3",5000,500,0.2,1.1338,6.27165000000005,18.8817,0
"M3",5000,500,0.25,1.10527499999998,5.83304999999996,18.79095625,0
"M3",5000,500,0.3,1.11395,5.909925,18.81445,0
"M3",5000,500,0.4,1.11255000000006,5.85962500000001,19.33139375,0
"M3",5000,500,0.5,1.091875,5.860475,19.58710625,0
"M3",5000,1000,0,2.44449999999995,12.004925,37.19861875,0
"M3",5000,1000,0.2,2.46729999999995,12.2836000000001,37.07349375,0
"M3",5000,1000,0.25,2.52947500000003,11.9978499999999,37.2800625,0
"M3",5000,1000,0.3,2.4038,11.800225,37.0481125,0
"M3",5000,1000,0.4,2.54782500000003,11.9821500000001,37.34978125,0
"M3",5000,1000,0.5,2.39072499999997,11.484725,37.9807,0
"M3",5000,2000,0,4.53417499999999,24.488625,74.9546875,0
"M3",5000,2000,0.2,4.61205000000002,22.981825,70.8343,0
"M3",5000,2000,0.25,4.5491,26.745225,76.78786875,0
"M3",5000,2000,0.3,4.51357499999997,26.5615,76.77264375,0
"M3",5000,2000,0.4,4.57587500000001,25.5334,77.35325,0
"M3",5000,2000,0.5,4.81664999999997,25.729375,77.24113125,0
"M4",1000,2000,0,0.971925000000056,7.79527500000004,6.27373749999999,0
"M4",1000,2000,0.2,1.04730000000022,7.66137500000023,6.30720624999997,0
"M4",1000,2000,0.25,1.05414999999998,7.73002500000007,6.29247499999999,0
"M4",1000,2000,0.3,1.07130000000006,7.69757499999982,6.32538125000004,0
"M4",1000,2000,0.4,1.02180000000003,7.67057500000005,6.2791875,0
"M4",1000,2000,0.5,1.048875,7.75507499999981,6.30703125000002,0
"M4",2000,1000,0,0.825850000000014,5.87055000000007,8.01322499999998,0
"M4",2000,1000,0.2,0.85319999999997,6.13575000000001,8.18495000000001,0
"M4",2000,1000,0.25,0.849074999999925,5.98495000000005,8.0258125,0
"M4",2000,1000,0.3,0.842524999999955,6.06094999999996,8.15668124999998,0
"M4",2000,1000,0.4,0.855399999999986,5.89292499999995,8.13276875,0
"M4",2000,1000,0.5,1.03295000000003,5.70847500000002,8.13720625000001,0
"M4",2000,2000,0,1.85407500000006,10.715275,16.2039125,0
"M4",2000,2000,0.2,1.86012499999995,11.039075,16.1350375,0
"M4",2000,2000,0.25,1.90880000000002,11.150525,16.25669375,0
"M4",2000,2000,0.3,1.86164999999999,11.077175,15.988025,0
"M4",2000,2000,0.4,1.93100000000002,11.5757249999999,16.2623375,0
"M4",2000,2000,0.5,1.82189999999994,10.955075,15.99400625,0
"M4",5000,200,0,0.774799999999868,2.46417499999984,7.60846875000009,0
"M4",5000,200,0.2,0.791199999999935,2.49052499999993,7.50435624999997,0
