"model","n","p","rho","rule","reps","sure4","sure10","sure20","sure30","sure50","sure100","sure20_fair"
"M2",2000,2000,0.3,"union",40,0.325,0.85,0.925,0.95,0.95,0.95,0.85
"M2",2000,2000,0.3,"inter",40,0.075,0.35,0.475,0.525,0.65,0.775,0.475
"M2",2000,2000,0.4,"ours",40,0.4,0.6,0.7,0.725,0.725,0.8,0.7
"M2",2000,2000,0.4,"qsis",40,0.25,0.875,0.95,0.975,0.975,0.975,0.95
"M2",2000,2000,0.4,"union",40,0.475,0.9,0.95,0.975,0.975,1,0.9
"M2",2000,2000,0.4,"inter",40,0.175,0.575,0.7,0.725,0.725,0.775,0.7
"M2",2000,2000,0.5,"ours",40,0.475,0.75,0.825,0.825,0.85,0.875,0.825
"M2",2000,2000,0.5,"qsis",40,0.45,0.925,0.95,1,1,1,0.95
"M2",2000,2000,0.5,"union",40,0.65,0.95,0.95,1,1,1,0.95
"M2",2000,2000,0.5,"inter",40,0.3,0.725,0.825,0.825,0.85,0.875,0.825
"M2",5000,500,0,"ours",40,0.35,0.7,0.75,0.775,0.825,0.875,0.75
"M2",5000,500,0,"qsis",40,0.175,1,1,1,1,1,1
"M2",5000,500,0,"union",40,0.475,1,1,1,1,1,1
"M2",5000,500,0,"inter",40,0.125,0.7,0.75,0.775,0.825,0.875,0.75
"M2",5000,500,0.2,"ours",40,0.975,0.975,0.975,1,1,1,0.975
"M2",5000,500,0.2,"qsis",40,0.275,1,1,1,1,1,1
"M2",5000,500,0.2,"union",40,0.975,1,1,1,1,1,1
"M2",5000,500,0.2,"inter",40,0.275,0.975,0.975,1,1,1,0.975
"M2",5000,500,0.25,"ours",40,0.775,0.85,0.9,0.925,0.925,0.95,0.9
"M2",5000,500,0.25,"qsis",40,0.25,1,1,1,1,1,1
"M2",5000,500,0.25,"union",40,0.825,1,1,1,1,1,1
"M2",5000,500,0.25,"inter",40,0.225,0.85,0.9,0.925,0.925,0.95,0.9
"M2",5000,500,0.3,"ours",40,0.825,0.925,0.975,0.975,1,1,0.975
