"model","n","p","rho","method","reps","sure4","sure10","sure20","sure30","sure50","sure100","ermax","medmax","top4_gamma","top4_scale"
"M3",5000,2000,0.3,"q990",40,0.275,0.775,0.9,0.925,1,1,9.65,6,3.075,0
"M3",5000,2000,0.4,"ours",40,0.95,1,1,1,1,1,4.075,4,3.95,0
"M3",5000,2000,0.4,"yu",40,0.325,0.65,0.7,0.725,0.8,0.85,58.45,5.5,2.7,0.3
"M3",5000,2000,0.4,"q900",40,0.925,1,1,1,1,1,4.175,4,3.925,0.075
"M3",5000,2000,0.4,"q950",40,0.975,1,1,1,1,1,4.025,4,3.975,0.025
"M3",5000,2000,0.4,"q975",40,1,1,1,1,1,1,4,4,4,0
"M3",5000,2000,0.4,"q990",40,0.525,0.95,0.975,0.975,0.975,0.975,7.775,4,3.425,0
"M3",5000,2000,0.5,"ours",40,1,1,1,1,1,1,4,4,4,0
"M3",5000,2000,0.5,"yu",40,0.325,0.675,0.75,0.775,0.775,0.9,27.4,6,2.8,0.525
"M3",5000,2000,0.5,"q900",40,0.8,1,1,1,1,1,4.275,4,3.8,0.2
"M3",5000,2000,0.5,"q950",40,1,1,1,1,1,1,4,4,4,0
"M3",5000,2000,0.5,"q975",40,1,1,1,1,1,1,4,4,4,0
"M3",5000,2000,0.5,"q990",40,0.8,1,1,1,1,1,4.2,4,3.8,0.025
"M4",5000,2000,0,"ours",40,0.025,0.1,0.125,0.15,0.3,0.4,463.75,164,1.925,0.025
"M4",5000,2000,0,"yu",40,0,0,0.025,0.025,0.025,0.05,793.75,692.5,0.25,0.05
"M4",5000,2000,0,"q900",40,0.025,0.325,0.45,0.6,0.7,0.8,84.85,25.5,2.275,0.05
"M4",5000,2000,0,"q950",40,0.35,0.85,0.875,0.9,0.95,1,10.4,5.5,3.3,0
"M4",5000,2000,0,"q975",40,0.1,0.55,0.7,0.8,0.85,0.875,46.525,10,2.575,0
"M4",5000,2000,0,"q990",40,0,0.1,0.15,0.225,0.4,0.65,134.275,66,1.075,0.025
"M4",5000,2000,0.2,"ours",40,0.35,0.6,0.675,0.7,0.8,0.825,105.075,6.5,3.075,0
"M4",5000,2000,0.2,"yu",40,0.025,0.075,0.15,0.2,0.25,0.35,571.75,279,0.875,0.05
"M4",5000,2000,0.2,"q900",40,0.625,0.825,0.95,0.95,0.975,1,8.7,4,3.575,0.1
"M4",5000,2000,0.2,"q950",40,0.9,0.975,1,1,1,1,4.3,4,3.9,0
"M4",5000,2000,0.2,"q975",40,0.725,0.925,0.95,0.95,0.975,1,6.725,4,3.725,0
"M4",5000,2000,0.2,"q990",40,0.05,0.375,0.575,0.65,0.75,0.9,41.4,17,2.4,0
"M4",5000,2000,0.25,"ours",40,0.4,0.6,0.7,0.725,0.775,0.875,72.325,7.5,3.275,0
"M4",5000,2000,0.25,"yu",40,0.025,0.15,0.2,0.275,0.275,0.375,351.375,207.5,0.925,0.125
"M4",5000,2000,0.25,"q900",40,0.75,0.925,0.95,0.975,1,1,6.325,4,3.75,0.025
"M4",5000,2000,0.25,"q950",40,0.9,1,1,1,1,1,4.275,4,3.9,0
"M4",5000,2000,0.25,"q975",40,0.625,0.9,0.95,0.95,0.975,1,7.5,4,3.625,0
"M4",5000,2000,0.25,"q990",40,0.1,0.3,0.625,0.7,0.825,0.85,39.3,14.5,2.275,0
