"covariate","block","score","rank_sel","rank_agg","rank_q95","freq_top20","p_marginal","below_fam05","below_mrg05","below_mrg01"
"enc_0024","encoder",1.3554557830277,305,286,381,0.1,0.688227571115974,FALSE,FALSE,FALSE
"enc_0257","encoder",1.35571870542571,306,118,246,0,0.692849015317287,FALSE,FALSE,FALSE
"u_Lu","surface",1.35588189404009,307,399,124,0,0.695665207877462,FALSE,FALSE,FALSE
"enc_0073","encoder",1.35621179708908,308,45,424,0,0.701505470459519,FALSE,FALSE,FALSE
"enc_0085","encoder",1.35654719539322,309,322,410,0,0.707363238512035,FALSE,FALSE,FALSE
"enc_0141","encoder",1.35661081426152,310,262,187,0,0.7085295404814,FALSE,FALSE,FALSE
"enc_0337","encoder",1.35684652335883,311,357,310,0,0.712496717724289,FALSE,FALSE,FALSE
"enc_0051","encoder",1.35695286813619,312,429,377,0,0.714380743982495,FALSE,FALSE,FALSE
"tri_0004","trigram",1.35699327002432,313,249,364,0,0.715043763676149,FALSE,FALSE,FALSE
"enc_0238","encoder",1.35713165906741,314,200,262,0.1,0.71743544857768,FALSE,FALSE,FALSE
"enc_0006","encoder",1.35763384165319,315,352,324,0,0.725818380743983,FALSE,FALSE,FALSE
"tri_0028","trigram",1.35769233512119,316,366,334,0.05,0.726776805251641,FALSE,FALSE,FALSE
"enc_0140","encoder",1.35781614134239,317,256,182,0.25,0.728794310722101,FALSE,FALSE,FALSE
"enc_0057","encoder",1.35800430845449,318,438,260,0,0.73191466083151,FALSE,FALSE,FALSE
"enc_0168","encoder",1.35811442486546,319,319,451,0.05,0.733669584245077,FALSE,FALSE,FALSE
"enc_0253","encoder",1.35817885192622,320,230,140,0,0.734728665207877,FALSE,FALSE,FALSE
"enc_0224","encoder",1.35818199327839,321,425,212,0,0.734781181619256,FALSE,FALSE,FALSE
"enc_0217","encoder",1.35835796535998,322,359,195,0,0.73764113785558,FALSE,FALSE,FALSE
"enc_0066","encoder",1.35842159093234,323,373,222,0.05,0.738634573304158,FALSE,FALSE,FALSE
"enc_0308","encoder",1.35845923967343,324,257,64,0,0.739280087527352,FALSE,FALSE,FALSE
"enc_0105","encoder",1.35858538649507,325,383,456,0.05,0.741253829321663,FALSE,FALSE,FALSE
"s_sdsent","surface",1.35872302467813,326,146,274,0,0.743505470459519,FALSE,FALSE,FALSE
"enc_0354","encoder",1.35878371852502,327,378,115,0.05,0.744457330415755,FALSE,FALSE,FALSE
"enc_0128","encoder",1.35881327587454,328,392,95,0,0.744997811816193,FALSE,FALSE,FALSE
"h_uni","surface",1.35888774239827,329,187,92,0.05,0.746231947483589,FALSE,FALSE,FALSE
"enc_0148","encoder",1.35895382346343,330,140,188,0,0.747352297592998,FALSE,FALSE,FALSE
"enc_0131","encoder",1.35899035561737,331,412,90,0,0.74792341356674,FALSE,FALSE,FALSE
"enc_0087","encoder",1.35904625938594,332,57,151,0.1,0.748816192560175,FALSE,FALSE,FALSE
"enc_0326","encoder",1.35943345668194,333,254,118,0,0.755133479212254,FALSE,FALSE,FALSE
"enc_0167","encoder",1.3595072013688,334,417,254,0.05,0.756413566739606,FALSE,FALSE,FALSE
"tri_0016","trigram",1.35953636853133,335,427,286,0.05,0.756881838074398,FALSE,FALSE,FALSE
"enc_0315","encoder",1.35981812329684,336,334,177,0.05,0.761354485776805,FALSE,FALSE,FALSE
"enc_0004","encoder",1.3598519236347,337,348,282,0,0.761894967177243,FALSE,FALSE,FALSE
"enc_0181","encoder",1.35993847051099,338,416,416,0,0.763284463894967,FALSE,FALSE,FALSE
"z_gain","surface",1.35996659998886,339,205,13,0,0.76371772428884,FALSE,FALSE,FALSE
"enc_0106","encoder",1.36006471654218,340,380,350,0.05,0.765234135667396,FALSE,FALSE,FALSE
"enc_0182","encoder",1.36014037855568,341,289,194,0,0.7664704595186,FALSE,FALSE,FALSE
"enc_0269","encoder",1.36030365806336,342,55,111,0.05,0.769065645514223,FALSE,FALSE,FALSE
"w_short","surface",1.36033981612863,343,381,211,0,0.769647702407002,FALSE,FALSE,FALSE
"enc_0179","encoder",1.36050620292883,344,267,106,0,0.772391684901532,FALSE,FALSE,FALSE
"enc_0165","encoder",1.36052790980551,345,384,296,0,0.772708971553611,FALSE,FALSE,FALSE
"enc_0188","encoder",1.36087570523688,346,349,93,0,0.777962800875273,FALSE,FALSE,FALSE
"enc_0319","encoder",1.36096773930701,347,448,386,0,0.779385120350109,FALSE,FALSE,FALSE
"enc_0079","encoder",1.36097544652584,348,295,398,0.05,0.779525164113786,FALSE,FALSE,FALSE
"rep_10top","surface",1.36132502678412,349,405,127,0,0.784890590809628,FALSE,FALSE,FALSE
"enc_0207","encoder",1.36137327507562,350,67,270,0,0.785669584245077,FALSE,FALSE,FALSE
"tri_0000","trigram",1.36166782562467,351,124,455,0,0.790140043763676,FALSE,FALSE,FALSE
"enc_0350","encoder",1.36168139915672,352,191,102,0.05,0.790321663019694,FALSE,FALSE,FALSE
"enc_0078","encoder",1.36170555342223,353,260,135,0.05,0.790606126914661,FALSE,FALSE,FALSE
"s_sentper1k","surface",1.36183420723928,354,395,370,0,0.792457330415755,FALSE,FALSE,FALSE
"enc_0133","encoder",1.36191053784554,355,279,339,0.05,0.793610503282276,FALSE,FALSE,FALSE
"enc_0325","encoder",1.36196454488266,356,329,152,0.05,0.794466083150985,FALSE,FALSE,FALSE
"enc_0109","encoder",1.36203405558701,357,226,273,0,0.795459518599562,FALSE,FALSE,FALSE
"enc_0378","encoder",1.36207812660102,358,409,400,0.05,0.796091903719912,FALSE,FALSE,FALSE
"enc_0007","encoder",1.36228531650884,359,153,56,0.05,0.798945295404814,FALSE,FALSE,FALSE
"enc_0249","encoder",1.36232393989931,360,327,421,0.05,0.799507658643326,FALSE,FALSE,FALSE
"enc_0200","encoder",1.36249840102399,361,285,351,0,0.801956236323851,FALSE,FALSE,FALSE
"enc_0351","encoder",1.36347189856659,362,454,343,0.05,0.81599124726477,FALSE,FALSE,FALSE
"enc_0125","encoder",1.36352332819687,363,449,382,0,0.816652078774617,FALSE,FALSE,FALSE
"enc_0011","encoder",1.3635253965296,364,433,207,0,0.816689277899344,FALSE,FALSE,FALSE
"enc_0149","encoder",1.36373128810681,365,228,94,0,0.819527352297593,FALSE,FALSE,FALSE
"enc_0367","encoder",1.36386297093885,366,418,447,0.05,0.821411378555799,FALSE,FALSE,FALSE
"enc_0094","encoder",1.36389064548717,367,139,321,0,0.821846827133479,FALSE,FALSE,FALSE
"rep_2top","surface",1.36391929300787,368,361,287,0.05,0.822185995623632,FALSE,FALSE,FALSE
"enc_0126","encoder",1.36394061661229,369,365,311,0,0.822463894967177,FALSE,FALSE,FALSE
"enc_0046","encoder",1.36407778158342,370,336,434,0.05,0.824225382932166,FALSE,FALSE,FALSE
"enc_0070","encoder",1.36415275221721,371,350,368,0.05,0.825183807439825,FALSE,FALSE,FALSE
"rep_2gram","surface",1.36417235617507,372,178,108,0.05,0.825420131291028,FALSE,FALSE,FALSE
"enc_0324","encoder",1.36424486695419,373,368,417,0,0.826310722100656,FALSE,FALSE,FALSE
"enc_0376","encoder",1.36425407804629,374,116,331,0.05,0.826428884026258,FALSE,FALSE,FALSE
"tri_0015","trigram",1.36430465142871,375,387,40,0.1,0.827063457330416,FALSE,FALSE,FALSE
"tri_0002","trigram",1.36431375391984,376,444,344,0.05,0.827207877461707,FALSE,FALSE,FALSE
"r_space","surface",1.3643403501993,377,100,198,0.05,0.82755579868709,FALSE,FALSE,FALSE
"tri_0022","trigram",1.36439105363571,378,283,411,0.05,0.828194748358862,FALSE,FALSE,FALSE
"enc_0368","encoder",1.36440969830593,379,386,338,0,0.828455142231947,FALSE,FALSE,FALSE
"enc_0002","encoder",1.36442549751333,380,258,294,0,0.828654266958424,FALSE,FALSE,FALSE
"enc_0158","encoder",1.36490036861733,381,432,237,0.1,0.834818380743983,FALSE,FALSE,FALSE
"enc_0082","encoder",1.36491927205402,382,193,32,0.05,0.834993435448578,FALSE,FALSE,FALSE
"enc_0108","encoder",1.36549883080453,383,73,67,0.1,0.842380743982495,FALSE,FALSE,FALSE
"enc_0162","encoder",1.36550064062664,384,341,384,0,0.842402625820569,FALSE,FALSE,FALSE
"enc_0322","encoder",1.36558794687887,385,364,444,0,0.843466083150985,FALSE,FALSE,FALSE
"tri_0025","trigram",1.36565059206786,386,446,253,0,0.844221006564551,FALSE,FALSE,FALSE
"enc_0054","encoder",1.36573433075304,387,264,439,0,0.845185995623632,FALSE,FALSE,FALSE
"enc_0170","encoder",1.36574255862647,388,443,161,0,0.84527352297593,FALSE,FALSE,FALSE
"tri_0029","trigram",1.3657583301303,389,442,322,0,0.845455142231948,FALSE,FALSE,FALSE
"enc_0069","encoder",1.36621212327965,390,71,251,0.05,0.850958424507659,FALSE,FALSE,FALSE
"enc_0099","encoder",1.36627921581148,391,440,280,0.05,0.851750547045952,FALSE,FALSE,FALSE
"tri_0013","trigram",1.36634725952945,392,241,185,0,0.852485776805252,FALSE,FALSE,FALSE
"enc_0161","encoder",1.36645749500996,393,401,180,0.05,0.853833698030635,FALSE,FALSE,FALSE
"enc_0230","encoder",1.36674351528374,394,452,146,0,0.85707658643326,FALSE,FALSE,FALSE
"enc_0136","encoder",1.36678106351521,395,421,435,0,0.857549234135667,FALSE,FALSE,FALSE
"tri_0026","trigram",1.36706555660127,396,294,57,0.05,0.860783369803063,FALSE,FALSE,FALSE
"enc_0232","encoder",1.36724897979218,397,377,259,0.05,0.862855579868709,FALSE,FALSE,FALSE
"enc_0053","encoder",1.36725238187689,398,245,449,0,0.862892778993435,FALSE,FALSE,FALSE
"enc_0295","encoder",1.36736754227935,399,447,175,0.05,0.864177242888403,FALSE,FALSE,FALSE
"enc_0174","encoder",1.36746423796454,400,309,241,0.05,0.865277899343545,FALSE,FALSE,FALSE
"enc_0365","encoder",1.36884107336488,401,434,173,0.05,0.880271334792122,FALSE,FALSE,FALSE
"enc_0127","encoder",1.36889167476858,402,437,423,0,0.880691466083151,FALSE,FALSE,FALSE
"enc_0246","encoder",1.3695047887428,403,376,422,0,0.887061269146608,FALSE,FALSE,FALSE
"enc_0340","encoder",1.36957712862472,404,439,61,0,0.88781181619256,FALSE,FALSE,FALSE
"enc_0048","encoder",1.36967917290698,405,436,346,0,0.888868708971554,FALSE,FALSE,FALSE
"enc_0055","encoder",1.36985527498306,406,276,414,0,0.890557986870897,FALSE,FALSE,FALSE
"enc_0316","encoder",1.37049250317751,407,342,454,0,0.896617067833698,FALSE,FALSE,FALSE
"enc_0288","encoder",1.37084125283015,408,424,284,0,0.899857768052516,FALSE,FALSE,FALSE
"enc_0381","encoder",1.37100253692129,409,281,376,0.05,0.901315098468271,FALSE,FALSE,FALSE
"enc_0306","encoder",1.37139583224769,410,314,323,0.05,0.904936542669584,FALSE,FALSE,FALSE
"enc_0084","encoder",1.3718165762612,411,457,291,0,0.908608315098468,FALSE,FALSE,FALSE
"enc_0220","encoder",1.3719041841819,412,411,157,0.05,0.909336980306346,FALSE,FALSE,FALSE
"enc_0248","encoder",1.37208261448722,413,398,342,0.05,0.910846827133479,FALSE,FALSE,FALSE
"enc_0274","encoder",1.3726605167072,414,455,365,0,0.915680525164114,FALSE,FALSE,FALSE
"enc_0223","encoder",1.3728268559974,415,410,407,0.05,0.917035010940919,FALSE,FALSE,FALSE
"enc_0333","encoder",1.37335761835413,416,441,387,0.05,0.921297592997812,FALSE,FALSE,FALSE
"enc_0374","encoder",1.37339337232966,417,219,167,0.1,0.921608315098468,FALSE,FALSE,FALSE
"enc_0256","encoder",1.37349527964995,418,207,103,0.05,0.922426695842451,FALSE,FALSE,FALSE
"h_cond","surface",1.37392711509764,419,360,87,0.05,0.925597374179431,FALSE,FALSE,FALSE
"enc_0281","encoder",1.37400846089089,420,445,178,0,0.926223194748359,FALSE,FALSE,FALSE
"tri_0003","trigram",1.37403352813965,421,374,457,0,0.926413566739606,FALSE,FALSE,FALSE
"enc_0147","encoder",1.37413062277659,422,320,99,0,0.927120350109409,FALSE,FALSE,FALSE
"enc_0268","encoder",1.37464188968196,423,358,109,0,0.930748358862144,FALSE,FALSE,FALSE
"enc_0123","encoder",1.37483042057192,424,288,205,0.15,0.931951859956236,FALSE,FALSE,FALSE
"enc_0150","encoder",1.37484766125485,425,301,308,0.05,0.932078774617068,FALSE,FALSE,FALSE
"enc_0284","encoder",1.3756352216564,426,394,163,0.05,0.937155361050328,FALSE,FALSE,FALSE
"enc_0129","encoder",1.37581426671619,427,414,166,0.05,0.93828227571116,FALSE,FALSE,FALSE
"enc_0068","encoder",1.37632160340948,428,423,235,0.05,0.94162363238512,FALSE,FALSE,FALSE
"s_meansent","surface",1.37685358974148,429,435,419,0.05,0.944984682713348,FALSE,FALSE,FALSE
"enc_0063","encoder",1.37700405069729,430,340,50,0.05,0.945873085339168,FALSE,FALSE,FALSE
"enc_0247","encoder",1.37707553035382,431,375,249,0.05,0.946245076586433,FALSE,FALSE,FALSE
"h_bi","surface",1.37799441546279,432,290,84,0.1,0.951378555798687,FALSE,FALSE,FALSE
