"n","rep","regle","hits10","hits20","worst"
1500,7,"quantile 0.90",2,2,5
1500,7,"quantile 0.95",1,1,56
1500,7,"quantile 0.99",1,1,178
1500,8,"tail selected",2,2,4
1500,8,"tail aggregated",2,2,4
1500,8,"Yoshida-Umezu paper",1,1,193
1500,8,"Yoshida-Umezu h=2",2,2,8
1500,8,"quantile 0.90",2,2,6
1500,8,"quantile 0.95",2,2,3
1500,8,"quantile 0.99",2,2,6
1500,9,"tail selected",1,2,17
1500,9,"tail aggregated",2,2,5
1500,9,"Yoshida-Umezu paper",1,1,72
1500,9,"Yoshida-Umezu h=2",1,1,114
1500,9,"quantile 0.90",2,2,3
1500,9,"quantile 0.95",2,2,4
1500,9,"quantile 0.99",0,0,40
1500,10,"tail selected",2,2,3
1500,10,"tail aggregated",2,2,6
1500,10,"Yoshida-Umezu paper",2,2,2
1500,10,"Yoshida-Umezu h=2",1,1,32
1500,10,"quantile 0.90",2,2,4
1500,10,"quantile 0.95",1,1,24
1500,10,"quantile 0.99",1,2,11
1500,11,"tail selected",2,2,2
1500,11,"tail aggregated",2,2,2
1500,11,"Yoshida-Umezu paper",2,2,4
1500,11,"Yoshida-Umezu h=2",1,1,159
1500,11,"quantile 0.90",2,2,3
1500,11,"quantile 0.95",2,2,3
1500,11,"quantile 0.99",0,0,26
1500,12,"tail selected",2,2,3
1500,12,"tail aggregated",2,2,3
1500,12,"Yoshida-Umezu paper",1,1,147
1500,12,"Yoshida-Umezu h=2",1,1,89
1500,12,"quantile 0.90",2,2,3
1500,12,"quantile 0.95",2,2,3
1500,12,"quantile 0.99",2,2,6
1500,13,"tail selected",1,1,189
1500,13,"tail aggregated",1,1,191
1500,13,"Yoshida-Umezu paper",0,0,258
1500,13,"Yoshida-Umezu h=2",0,0,259
1500,13,"quantile 0.90",1,1,177
1500,13,"quantile 0.95",1,1,55
1500,13,"quantile 0.99",1,1,141
1500,14,"tail selected",1,2,15
1500,14,"tail aggregated",1,1,29
1500,14,"Yoshida-Umezu paper",0,0,173
1500,14,"Yoshida-Umezu h=2",1,1,36
1500,14,"quantile 0.90",2,2,3
1500,14,"quantile 0.95",2,2,4
1500,14,"quantile 0.99",1,1,63
1500,15,"tail selected",1,2,13
1500,15,"tail aggregated",2,2,5
1500,15,"Yoshida-Umezu paper",1,1,25
1500,15,"Yoshida-Umezu h=2",2,2,6
1500,15,"quantile 0.90",2,2,3
1500,15,"quantile 0.95",2,2,3
1500,15,"quantile 0.99",1,1,30
1500,16,"tail selected",1,1,171
1500,16,"tail aggregated",1,1,161
1500,16,"Yoshida-Umezu paper",1,1,243
1500,16,"Yoshida-Umezu h=2",2,2,10
1500,16,"quantile 0.90",1,1,131
1500,16,"quantile 0.95",1,1,90
1500,16,"quantile 0.99",0,1,110
1500,17,"tail selected",1,1,81
1500,17,"tail aggregated",2,2,5
1500,17,"Yoshida-Umezu paper",2,2,3
1500,17,"Yoshida-Umezu h=2",2,2,8
1500,17,"quantile 0.90",2,2,4
1500,17,"quantile 0.95",2,2,3
1500,17,"quantile 0.99",1,2,14
1500,18,"tail selected",2,2,4
1500,18,"tail aggregated",2,2,4
1500,18,"Yoshida-Umezu paper",1,1,225
1500,18,"Yoshida-Umezu h=2",1,1,130
1500,18,"quantile 0.90",1,2,13
1500,18,"quantile 0.95",1,1,51
1500,18,"quantile 0.99",2,2,3
1500,19,"tail selected",2,2,3
1500,19,"tail aggregated",2,2,3
1500,19,"Yoshida-Umezu paper",1,1,92
1500,19,"Yoshida-Umezu h=2",1,1,89
1500,19,"quantile 0.90",2,2,3
1500,19,"quantile 0.95",2,2,3
1500,19,"quantile 0.99",2,2,7
1500,20,"tail selected",1,2,15
1500,20,"tail aggregated",1,2,11
1500,20,"Yoshida-Umezu paper",0,0,230
1500,20,"Yoshida-Umezu h=2",1,1,80
1500,20,"quantile 0.90",2,2,7
1500,20,"quantile 0.95",1,1,65
1500,20,"quantile 0.99",1,1,57
2000,1,"tail selected",1,1,181
2000,1,"tail aggregated",1,1,27
2000,1,"Yoshida-Umezu paper",0,0,199
2000,1,"Yoshida-Umezu h=2",1,1,212
2000,1,"quantile 0.90",2,2,4
2000,1,"quantile 0.95",2,2,3
2000,1,"quantile 0.99",1,2,14
2000,2,"tail selected",2,2,4
2000,2,"tail aggregated",2,2,3
2000,2,"Yoshida-Umezu paper",0,0,208
2000,2,"Yoshida-Umezu h=2",0,0,260
2000,2,"quantile 0.90",2,2,3
2000,2,"quantile 0.95",2,2,4
2000,2,"quantile 0.99",2,2,3
2000,3,"tail selected",2,2,3
2000,3,"tail aggregated",2,2,3
2000,3,"Yoshida-Umezu paper",0,0,84
2000,3,"Yoshida-Umezu h=2",2,2,3
2000,3,"quantile 0.90",2,2,3
2000,3,"quantile 0.95",2,2,3
2000,3,"quantile 0.99",2,2,9
2000,4,"tail selected",2,2,5
2000,4,"tail aggregated",2,2,3
2000,4,"Yoshida-Umezu paper",0,0,141
2000,4,"Yoshida-Umezu h=2",2,2,3
2000,4,"quantile 0.90",1,1,37
2000,4,"quantile 0.95",2,2,3
2000,4,"quantile 0.99",2,2,6
2000,5,"tail selected",2,2,3
2000,5,"tail aggregated",2,2,3
2000,5,"Yoshida-Umezu paper",2,2,5
2000,5,"Yoshida-Umezu h=2",1,1,134
2000,5,"quantile 0.90",2,2,3
2000,5,"quantile 0.95",2,2,3
2000,5,"quantile 0.99",2,2,2
2000,6,"tail selected",2,2,6
2000,6,"tail aggregated",2,2,3
2000,6,"Yoshida-Umezu paper",2,2,3
2000,6,"Yoshida-Umezu h=2",2,2,3
2000,6,"quantile 0.90",2,2,4
2000,6,"quantile 0.95",2,2,6
2000,6,"quantile 0.99",2,2,8
2000,7,"tail selected",2,2,6
2000,7,"tail aggregated",2,2,4
2000,7,"Yoshida-Umezu paper",1,1,29
2000,7,"Yoshida-Umezu h=2",1,1,27
2000,7,"quantile 0.90",2,2,3
2000,7,"quantile 0.95",2,2,8
2000,7,"quantile 0.99",2,2,2
2000,8,"tail selected",2,2,3
2000,8,"tail aggregated",2,2,3
2000,8,"Yoshida-Umezu paper",1,1,133
2000,8,"Yoshida-Umezu h=2",1,1,83
2000,8,"quantile 0.90",2,2,4
2000,8,"quantile 0.95",2,2,3
2000,8,"quantile 0.99",2,2,10
2000,9,"tail selected",2,2,5
2000,9,"tail aggregated",2,2,4
2000,9,"Yoshida-Umezu paper",2,2,3
2000,9,"Yoshida-Umezu h=2",2,2,8
2000,9,"quantile 0.90",2,2,4
2000,9,"quantile 0.95",2,2,3
2000,9,"quantile 0.99",2,2,5
2000,10,"tail selected",1,1,67
2000,10,"tail aggregated",1,1,134
2000,10,"Yoshida-Umezu paper",0,0,26
2000,10,"Yoshida-Umezu h=2",1,1,108
2000,10,"quantile 0.90",1,1,108
2000,10,"quantile 0.95",1,1,87
2000,10,"quantile 0.99",1,1,129
2000,11,"tail selected",1,1,126
2000,11,"tail aggregated",1,1,197
2000,11,"Yoshida-Umezu paper",0,0,189
2000,11,"Yoshida-Umezu h=2",1,1,77
2000,11,"quantile 0.90",2,2,7
2000,11,"quantile 0.95",1,1,91
2000,11,"quantile 0.99",1,2,20
2000,12,"tail selected",2,2,8
2000,12,"tail aggregated",2,2,7
2000,12,"Yoshida-Umezu paper",1,1,42
2000,12,"Yoshida-Umezu h=2",1,1,27
2000,12,"quantile 0.90",1,1,22
2000,12,"quantile 0.95",2,2,6
2000,12,"quantile 0.99",2,2,7
2000,13,"tail selected",2,2,3
2000,13,"tail aggregated",2,2,3
2000,13,"Yoshida-Umezu paper",1,1,104
2000,13,"Yoshida-Umezu h=2",1,1,171
2000,13,"quantile 0.90",2,2,4
2000,13,"quantile 0.95",2,2,3
2000,13,"quantile 0.99",2,2,8
2000,14,"tail selected",2,2,3
2000,14,"tail aggregated",2,2,3
