"n","rep","a","alpha","two_nah","agg_worst","sel_worst","agg_hits","sel_hits","comp_worst"
2000,13,0.3,0.102256518256357,65.3983057881835,8,9,2,2,10
2000,13,0.35,0.0699261313295298,44.7213595499958,20,34,1,1,10
2000,13,0.4,0.0478176249895018,30.5818319893139,87,49,1,1,10
2000,14,0.15,0.319775731187276,204.513036512715,20,12,1,1,4
2000,14,0.2,0.218672414788656,139.85226265906,25,25,1,1,4
2000,14,0.25,0.149534878122122,95.6352499790037,68,23,1,1,4
2000,14,0.3,0.102256518256357,65.3983057881835,17,80,1,1,4
2000,14,0.35,0.0699261313295298,44.7213595499958,16,6,1,2,4
2000,14,0.4,0.0478176249895018,30.5818319893139,16,57,1,1,4
2000,15,0.15,0.319775731187276,204.513036512715,3,5,2,2,3
2000,15,0.2,0.218672414788656,139.85226265906,3,3,2,2,3
2000,15,0.25,0.149534878122122,95.6352499790037,3,3,2,2,3
2000,15,0.3,0.102256518256357,65.3983057881835,3,3,2,2,3
2000,15,0.35,0.0699261313295298,44.7213595499958,5,15,2,1,3
2000,15,0.4,0.0478176249895018,30.5818319893139,27,53,1,1,3
2000,16,0.15,0.319775731187276,204.513036512715,6,51,2,1,9
2000,16,0.2,0.218672414788656,139.85226265906,7,5,2,2,9
2000,16,0.25,0.149534878122122,95.6352499790037,9,10,2,2,9
2000,16,0.3,0.102256518256357,65.3983057881835,3,66,2,1,9
2000,16,0.35,0.0699261313295298,44.7213595499958,6,5,2,2,9
2000,16,0.4,0.0478176249895018,30.5818319893139,9,38,2,1,9
2000,17,0.15,0.319775731187276,204.513036512715,11,6,1,2,12
2000,17,0.2,0.218672414788656,139.85226265906,8,6,2,2,12
2000,17,0.25,0.149534878122122,95.6352499790037,9,7,2,2,12
2000,17,0.3,0.102256518256357,65.3983057881835,12,7,1,2,12
2000,17,0.35,0.0699261313295298,44.7213595499958,20,29,1,1,12
2000,17,0.4,0.0478176249895018,30.5818319893139,22,40,1,1,12
2000,18,0.15,0.319775731187276,204.513036512715,6,10,2,2,3
2000,18,0.2,0.218672414788656,139.85226265906,25,100,1,1,3
2000,18,0.25,0.149534878122122,95.6352499790037,7,30,2,1,3
2000,18,0.3,0.102256518256357,65.3983057881835,8,4,2,2,3
2000,18,0.35,0.0699261313295298,44.7213595499958,5,17,2,1,3
2000,18,0.4,0.0478176249895018,30.5818319893139,9,6,2,2,3
2000,19,0.15,0.319775731187276,204.513036512715,6,7,2,2,12
2000,19,0.2,0.218672414788656,139.85226265906,9,93,2,1,12
2000,19,0.25,0.149534878122122,95.6352499790037,60,76,1,1,12
2000,19,0.3,0.102256518256357,65.3983057881835,65,38,1,1,12
2000,19,0.35,0.0699261313295298,44.7213595499958,74,73,1,1,12
2000,19,0.4,0.0478176249895018,30.5818319893139,49,98,1,1,12
2000,20,0.15,0.319775731187276,204.513036512715,6,7,2,2,3
2000,20,0.2,0.218672414788656,139.85226265906,4,5,2,2,3
2000,20,0.25,0.149534878122122,95.6352499790037,3,3,2,2,3
2000,20,0.3,0.102256518256357,65.3983057881835,3,3,2,2,3
2000,20,0.35,0.0699261313295298,44.7213595499958,2,2,2,2,3
2000,20,0.4,0.0478176249895018,30.5818319893139,2,2,2,2,3
5000,1,0.15,0.278711250170447,388.399804857867,6,3,2,2,3
5000,1,0.2,0.182056420302608,253.705862520481,3,8,2,2,3
5000,1,0.25,0.118920711500272,165.722700866999,3,3,2,2,3
5000,1,0.3,0.0776799609715734,108.251395177894,3,3,2,2,3
5000,1,0.35,0.0507411725040962,70.7106781186548,5,7,2,2,3
5000,1,0.4,0.0331445401733999,46.1887811402644,17,6,1,2,3
5000,2,0.15,0.278711250170447,388.399804857867,12,11,1,1,3
5000,2,0.2,0.182056420302608,253.705862520481,15,60,1,1,3
5000,2,0.25,0.118920711500272,165.722700866999,6,28,2,1,3
5000,2,0.3,0.0776799609715734,108.251395177894,3,5,2,2,3
5000,2,0.35,0.0507411725040962,70.7106781186548,3,4,2,2,3
5000,2,0.4,0.0331445401733999,46.1887811402644,2,2,2,2,3
5000,3,0.15,0.278711250170447,388.399804857867,4,3,2,2,3
5000,3,0.2,0.182056420302608,253.705862520481,3,4,2,2,3
5000,3,0.25,0.118920711500272,165.722700866999,3,3,2,2,3
5000,3,0.3,0.0776799609715734,108.251395177894,3,3,2,2,3
5000,3,0.35,0.0507411725040962,70.7106781186548,3,3,2,2,3
5000,3,0.4,0.0331445401733999,46.1887811402644,2,3,2,2,3
5000,4,0.15,0.278711250170447,388.399804857867,12,8,1,2,36
5000,4,0.2,0.182056420302608,253.705862520481,12,11,1,1,36
5000,4,0.25,0.118920711500272,165.722700866999,18,22,1,1,36
5000,4,0.3,0.0776799609715734,108.251395177894,36,35,1,1,36
5000,4,0.35,0.0507411725040962,70.7106781186548,14,98,1,1,36
5000,4,0.4,0.0331445401733999,46.1887811402644,7,8,2,2,36
5000,5,0.15,0.278711250170447,388.399804857867,5,6,2,2,3
5000,5,0.2,0.182056420302608,253.705862520481,5,5,2,2,3
5000,5,0.25,0.118920711500272,165.722700866999,3,3,2,2,3
5000,5,0.3,0.0776799609715734,108.251395177894,3,3,2,2,3
5000,5,0.35,0.0507411725040962,70.7106781186548,3,3,2,2,3
5000,5,0.4,0.0331445401733999,46.1887811402644,3,3,2,2,3
5000,6,0.15,0.278711250170447,388.399804857867,28,21,1,1,3
5000,6,0.2,0.182056420302608,253.705862520481,5,11,2,1,3
5000,6,0.25,0.118920711500272,165.722700866999,5,3,2,2,3
5000,6,0.3,0.0776799609715734,108.251395177894,6,16,2,1,3
5000,6,0.35,0.0507411725040962,70.7106781186548,41,80,1,1,3
